"REGION","YEAR","species_name","avBlePrev","SE_B"
"SEFCRI",2014,"Agaricia agaricites",0,7.20854593040282e-05
"SEFCRI",2014,"Agaricia fragilis",50,70.7106781186548
"SEFCRI",2014,"Agaricia humilis",0,0
"SEFCRI",2014,"Agaricia lamarcki",20.0462962962963,28.3497440976351
"SEFCRI",2014,"Colpophyllia natans",0,7.20854593040282e-05
"SEFCRI",2014,"Dichocoenia stokesii",3.32818930041152,9.98456790131506
"SEFCRI",2014,"Diploria labyrinthiformis",0,5.99074074074074e-05
"SEFCRI",2014,"Eusmilia fastigiata",0,7.20854593040282e-05
"SEFCRI",2014,"Madracis auretenra",0,0
"SEFCRI",2014,"Madracis decactis",4.27910052910053,11.3214358351159
"SEFCRI",2014,"Meandrina meandrites",4.86630952380952,10.5812851711914
"SEFCRI",2014,"Montastraea cavernosa",9.9931474132863,15.7951906333839
"SEFCRI",2014,"Mussa angulosa",0,0
"SEFCRI",2014,"Mycetophyllia aliciae",0,5.99074074074074e-05
"SEFCRI",2014,"Orbicella faveolata",57.7572016460905,39.2726379862944
"SEFCRI",2014,"Orbicella franksi",0,0
"SEFCRI",2014,"Porites astreoides",1.93283224400871,4.51376847164251
"SEFCRI",2014,"Porites furcata",0,1e-04
"SEFCRI",2014,"Porites porites",0,7.20854593040282e-05
"SEFCRI",2014,"Pseudodiploria clivosa",0,0
"SEFCRI",2014,"Pseudodiploria strigosa",0,7.20854593040282e-05
"SEFCRI",2014,"Siderastrea radians",20.0462962962963,28.3497440975718
"SEFCRI",2014,"Siderastrea siderea",37.1162167571707,22.0205982581169
"SEFCRI",2014,"Solenastrea bournoni",14.9961419753086,23.4323639777203
"SEFCRI",2014,"Stephanocoenia intersepta",14.0892069164681,17.3592762514016
"SEFCRI",2016,"Acropora cervicornis",0,1e-04
"SEFCRI",2016,"Agaricia agaricites",83.0521157344915,0
"SEFCRI",2016,"Agaricia humilis",0,0
"SEFCRI",2016,"Agaricia lamarcki",0,6.17169111804511e-05
"SEFCRI",2016,"Colpophyllia natans",0,0
"SEFCRI",2016,"Dichocoenia stokesii",0,6.81350221501217e-06
"SEFCRI",2016,"Eusmilia fastigiata",0,0
"SEFCRI",2016,"Helioceris cucullata",0,0
"SEFCRI",2016,"Madracis decactis",0.695569259962049,1.71656385224771
"SEFCRI",2016,"Madracis senaria",0,0
"SEFCRI",2016,"Manicina areolata",0,0
"SEFCRI",2016,"Meandrina danae",0,7.80404171747744e-05
"SEFCRI",2016,"Meandrina jacksoni",0,0
"SEFCRI",2016,"Meandrina meandrites",14.2642642642643,4.20881365352899e-05
"SEFCRI",2016,"Montastraea cavernosa",12.6890926847819,15.6066883427415
"SEFCRI",2016,"Mycetophyllia aliciae",0,0
"SEFCRI",2016,"Oculina diffusa",6.03139789911116,8.79372042017777e-05
"SEFCRI",2016,"Orbicella annularis",100,0
"SEFCRI",2016,"Orbicella franksi",0,2.46711153479504e-05
"SEFCRI",2016,"Porites astreoides",4.67732983466835,4.88059887429318
"SEFCRI",2016,"Porites porites",0,4.92643170637646e-05
"SEFCRI",2016,"Pseudodiploria clivosa",0,0
"SEFCRI",2016,"Pseudodiploria strigosa",0,0
"SEFCRI",2016,"Siderastrea radians",66.4057597489915,20.6294011145942
"SEFCRI",2016,"Siderastrea siderea",29.41410487219,18.7362244706179
"SEFCRI",2016,"Solenastrea bournoni",28.1385971905847,13.9318701385214
"SEFCRI",2016,"Stephanocoenia intersepta",28.8878050645149,13.7974835172663
"SEFCRI",2018,"Agaricia agaricites",5.37124802527646,7.68013589572007
"SEFCRI",2018,"Agaricia fragilis",17.4168297455969,0
"SEFCRI",2018,"Agaricia lamarcki",0,0
"SEFCRI",2018,"Colpophyllia natans",0,0
"SEFCRI",2018,"Dichocoenia stokesii",0,0
"SEFCRI",2018,"Eusmilia fastigiata",0,0
"SEFCRI",2018,"Madracis auretenra",100,0
"SEFCRI",2018,"Madracis decactis",2.63833682948756,3.23960173903926
"SEFCRI",2018,"Manicina areolata",0,0
"SEFCRI",2018,"Meandrina meandrites",0,2.13251067083897e-05
"SEFCRI",2018,"Montastraea cavernosa",14.9428337706665,10.8632189523049
"SEFCRI",2018,"Mussa angulosa",0,0
"SEFCRI",2018,"Mycetophyllia aliciae",0,0
"SEFCRI",2018,"Orbicella faveolata",0,0
"SEFCRI",2018,"Orbicella franksi",0,7.80404171747744e-05
"SEFCRI",2018,"Porites astreoides",11.4880625813834,4.18622143482614
"SEFCRI",2018,"Porites furcata",0,0
"SEFCRI",2018,"Porites porites",4.82168330955777,1.55777460770328e-05
"SEFCRI",2018,"Scolymia cubensis",0,0
"SEFCRI",2018,"Siderastrea radians",30.1935856688818,0
"SEFCRI",2018,"Siderastrea siderea",51.3274335584041,20.2135066337002
"SEFCRI",2018,"Solenastrea bournoni",73.0682670667667,0
"SEFCRI",2018,"Stephanocoenia intersepta",27.6473801937419,20.9170260966978
"SEFCRI",2020,"Acropora cervicornis",0,1e-04
"SEFCRI",2020,"Agaricia agaricites",39.3629422879441,4.30748522156227
"SEFCRI",2020,"Agaricia fragilis",0,0
"SEFCRI",2020,"Agaricia lamarcki",100,0
"SEFCRI",2020,"Dichocoenia stokesii",68.6657794044252,1.13264570509621e-05
"SEFCRI",2020,"Diploria labyrinthiformis",0,0
"SEFCRI",2020,"Eusmilia fastigiata",59.3832076590697,0
"SEFCRI",2020,"Madracis decactis",0,3.73592584218856e-05
"SEFCRI",2020,"Manicina areolata",0,0
"SEFCRI",2020,"Meandrina meandrites",8.40189222542164,1.73760082190925e-05
"SEFCRI",2020,"Montastraea cavernosa",13.1639747578089,15.40469383706
"SEFCRI",2020,"Mussa angulosa",0,0
"SEFCRI",2020,"Mycetophyllia ferox",100,1e-04
"SEFCRI",2020,"Mycetophyllia lamarckiana",0,1e-04
"SEFCRI",2020,"Orbicella annularis",0,0
"SEFCRI",2020,"Orbicella faveolata",26.8811047490738,32.1331413232557
"SEFCRI",2020,"Porites astreoides",19.5326583169659,16.5426534303868
"SEFCRI",2020,"Porites divaricata",16.65,23.546655813512
"SEFCRI",2020,"Porites porites",19.5588301592652,21.500364446539
"SEFCRI",2020,"Pseudodiploria clivosa",0,0
"SEFCRI",2020,"Pseudodiploria strigosa",55.5671670150105,0
"SEFCRI",2020,"Siderastrea radians",29.1580785868762,18.2084349813505
"SEFCRI",2020,"Siderastrea siderea",33.2146284387843,27.2419358099262
"SEFCRI",2020,"Solenastrea bournoni",7.85654349379992,7.69649128259316e-05
"SEFCRI",2020,"Stephanocoenia intersepta",29.6456802189736,22.0538165022467
"SEFCRI",2022,"Acropora cervicornis",34.2727054655497,48.4689248885989
"SEFCRI",2022,"Agaricia agaricites",0,2.04536464365284e-05
"SEFCRI",2022,"Agaricia fragilis",0,1e-04
"SEFCRI",2022,"Colpophyllia natans",0,0
"SEFCRI",2022,"Dichocoenia stokesii",7.60854061335203,15.2170812267065
"SEFCRI",2022,"Diploria labyrinthiformis",0,0
"SEFCRI",2022,"Eusmilia fastigiata",0,1.33401369756801e-05
"SEFCRI",2022,"Helioceris cucullata",0,0
"SEFCRI",2022,"Madracis decactis",5.92503022974607,8.37925810857849
"SEFCRI",2022,"Meandrina jacksoni",0,0
"SEFCRI",2022,"Meandrina meandrites",0,4.06930418262642e-05
"SEFCRI",2022,"Montastraea cavernosa",8.26609254071506,4.50224060936505
"SEFCRI",2022,"Mycetophyllia aliciae",0,4.9029163694056e-05
"SEFCRI",2022,"Mycetophyllia ferox",0,0
"SEFCRI",2022,"Orbicella faveolata",0,0
"SEFCRI",2022,"Orbicella franksi",100,0
"SEFCRI",2022,"Porites astreoides",18.7192964055305,20.0878407171332
"SEFCRI",2022,"Porites divaricata",22.14,37.1436131791187
"SEFCRI",2022,"Porites porites",15.4184089533672,23.7634966917978
"SEFCRI",2022,"Pseudodiploria strigosa",0,1e-04
"SEFCRI",2022,"Siderastrea radians",11.7960533496286,14.0996943701181
"SEFCRI",2022,"Siderastrea siderea",8.48499630197253,9.80795687983487
"SEFCRI",2022,"Solenastrea bournoni",14.0324335350513,28.0648670701094
"SEFCRI",2022,"Stephanocoenia intersepta",49.6461025964865,11.1861060451045
