"REGION","YEAR","species_name","avDisPrev","SE_D"
"SEFCRI",2014,"Agaricia agaricites",0,7.20854593040282e-05
"SEFCRI",2014,"Agaricia fragilis",0,1e-04
"SEFCRI",2014,"Agaricia humilis",0,0
"SEFCRI",2014,"Agaricia lamarcki",0,7.20854593040282e-05
"SEFCRI",2014,"Colpophyllia natans",0,7.20854593040282e-05
"SEFCRI",2014,"Dichocoenia stokesii",0,7.20854593040282e-05
"SEFCRI",2014,"Diploria labyrinthiformis",0,5.99074074074074e-05
"SEFCRI",2014,"Eusmilia fastigiata",0,7.20854593040282e-05
"SEFCRI",2014,"Madracis auretenra",0,0
"SEFCRI",2014,"Madracis decactis",0,7.20854593040282e-05
"SEFCRI",2014,"Meandrina meandrites",0,7.20854593040282e-05
"SEFCRI",2014,"Montastraea cavernosa",0,7.20854593040282e-05
"SEFCRI",2014,"Mussa angulosa",0,0
"SEFCRI",2014,"Mycetophyllia aliciae",0,5.99074074074074e-05
"SEFCRI",2014,"Orbicella faveolata",0,7.20854593040282e-05
"SEFCRI",2014,"Orbicella franksi",0,0
"SEFCRI",2014,"Porites astreoides",0,7.20854593040282e-05
"SEFCRI",2014,"Porites furcata",0,1e-04
"SEFCRI",2014,"Porites porites",0,7.20854593040282e-05
"SEFCRI",2014,"Pseudodiploria clivosa",0,0
"SEFCRI",2014,"Pseudodiploria strigosa",0,7.20854593040282e-05
"SEFCRI",2014,"Siderastrea radians",0,4.00925925925926e-05
"SEFCRI",2014,"Siderastrea siderea",1.4680473753829,4.14282482692011
"SEFCRI",2014,"Solenastrea bournoni",6.65637860082305,19.9691358025094
"SEFCRI",2014,"Stephanocoenia intersepta",0.370538408779149,1.92537405090107
"SEFCRI",2016,"Acropora cervicornis",17.85,25.2437120883598
"SEFCRI",2016,"Agaricia agaricites",0,0
"SEFCRI",2016,"Agaricia humilis",0,0
"SEFCRI",2016,"Agaricia lamarcki",8.77824259407526,11.865547669434
"SEFCRI",2016,"Colpophyllia natans",0,0
"SEFCRI",2016,"Dichocoenia stokesii",0,6.81350221501217e-06
"SEFCRI",2016,"Eusmilia fastigiata",0,0
"SEFCRI",2016,"Helioceris cucullata",0,0
"SEFCRI",2016,"Madracis decactis",4.54250474383302,3.37621919957409e-05
"SEFCRI",2016,"Madracis senaria",0,0
