"REGION","YEAR","SPECIES_CD","SPECIES_NAME","avMort","Var","SE","CV_perc","n_sites","n_strat","ngrtot","MORT_TYPE"
"SEFCRI",2014,"AGA AGAR","Agaricia agaricites",1.00231481481481,1.00463498979171,1.00231481570997,100.000000089309,4,2,2160,"Old"
"SEFCRI",2014,"AGA FRAG","Agaricia fragilis",5,5e-09,7.07106781186548e-05,0.0014142135623731,2,1,1294,"Old"
"SEFCRI",2014,"AGA HUMI","Agaricia humilis",0,0,0,NA,1,1,866,"Old"
"SEFCRI",2014,"AGA LAMA","Agaricia lamarcki",8.51388888888889,3.24769590192044,1.8021364826007,21.1670190452285,4,2,2160,"Old"
"SEFCRI",2014,"COL NATA","Colpophyllia natans",15.7256944444444,5.04688705713087,2.24652777795666,14.2857142868518,4,2,2160,"Old"
"SEFCRI",2014,"DIC STOK","Dichocoenia stokesii",8.38973765432099,14.1712227854462,3.76446845988198,44.869918643322,13,2,2160,"Old"
"SEFCRI",2014,"DIP LABY","Diploria labyrinthiformis",14.5162037037037,2.24306091392318,1.49768518518519,10.3173337585712,5,2,2160,"Old"
"SEFCRI",2014,"EUS FAST","Eusmilia fastigiata",4.00154320987654,5.32717716430422,2.30806784222306,57.6794431839778,6,2,2160,"Old"
"SEFCRI",2014,"MAD AURE","Madracis auretenra",5,0,0,0,1,1,866,"Old"
"SEFCRI",2014,"MAD DECA","Madracis decactis",33.0411155202822,48.6697797779218,6.97637296723174,21.1142174148125,17,2,2160,"Old"
"SEFCRI",2014,"MEA MEAN","Meandrina meandrites",4.60864258769351,0.921616723549717,0.96000871014263,20.8306175164494,39,2,2160,"Old"
"SEFCRI",2014,"MON CAVE","Montastraea cavernosa",17.6256644375857,7.25173051873598,2.69290373365555,15.2783104613809,39,2,2160,"Old"
"SEFCRI",2014,"MUS ANGU","Mussa angulosa",0,0,0,NA,1,1,866,"Old"
"SEFCRI",2014,"MYC ALIC","Mycetophyllia aliciae",0.823726851851852,0.528988532200217,0.727315978237944,88.2957714202028,5,2,2160,"Old"
"SEFCRI",2014,"ORB FAVE","Orbicella faveolata",43.0360596707819,257.504133348204,16.0469353257313,37.2871853243246,12,2,2160,"Old"
"SEFCRI",2014,"ORB FRAN","Orbicella franksi",40,0,0,0,1,1,1294,"Old"
"SEFCRI",2014,"POR ASTR","Porites astreoides",15.8541325172044,4.82433969312432,2.19643795567376,13.8540405997632,34,2,2160,"Old"
"SEFCRI",2014,"POR FURC","Porites furcata",35,225,15,42.8571428571429,2,1,1294,"Old"
"SEFCRI",2014,"POR PORI","Porites porites",11.9328317901235,28.0446115674654,5.29571634129562,44.379376450096,9,2,2160,"Old"
"SEFCRI",2014,"PSE CLIV","Pseudodiploria clivosa",12.5,0,0,0,1,1,866,"Old"
