"REGION","YEAR","SPECIES_CD","SPECIES_NAME","avMort","Var","SE","CV_perc","n_sites","n_strat","ngrtot","MORT_TYPE"
"SEFCRI",2014,"AGA AGAR","Agaricia agaricites",0,2.59815672153635e-09,5.09721170988252e-05,Inf,4,2,2160,"Recent"
"SEFCRI",2014,"AGA FRAG","Agaricia fragilis",0,5e-09,7.07106781186548e-05,Inf,2,1,1294,"Recent"
"SEFCRI",2014,"AGA HUMI","Agaricia humilis",0,0,0,NA,1,1,866,"Recent"
"SEFCRI",2014,"AGA LAMA","Agaricia lamarcki",0,2.59815672153635e-09,5.09721170988252e-05,Inf,4,2,2160,"Recent"
"SEFCRI",2014,"COL NATA","Colpophyllia natans",2.00462962962963,4.01853995378347,2.00462963007721,100.000000022327,4,2,2160,"Recent"
"SEFCRI",2014,"DIC STOK","Dichocoenia stokesii",0,8.00620379896357e-10,2.82952359929434e-05,Inf,13,2,2160,"Recent"
"SEFCRI",2014,"DIP LABY","Diploria labyrinthiformis",0,8.97224365569273e-10,2.99537037037037e-05,Inf,5,2,2160,"Recent"
"SEFCRI",2014,"EUS FAST","Eusmilia fastigiata",0,1.73210448102423e-09,4.16185593338385e-05,Inf,6,2,2160,"Recent"
"SEFCRI",2014,"MAD AURE","Madracis auretenra",0,0,0,NA,1,1,866,"Recent"
"SEFCRI",2014,"MAD DECA","Madracis decactis",0.227191358024691,0.0397091286308727,0.199271494777534,87.7108603558225,17,2,2160,"Recent"
"SEFCRI",2014,"MEA MEAN","Meandrina meandrites",0.156215094062316,0.00776037479134093,0.0880929894562611,56.3921111369171,39,2,2160,"Recent"
"SEFCRI",2014,"MON CAVE","Montastraea cavernosa",0.20398907505389,0.0135445612170153,0.116381103350223,57.0526158420384,39,2,2160,"Recent"
"SEFCRI",2014,"MUS ANGU","Mussa angulosa",0,0,0,NA,1,1,866,"Recent"
"SEFCRI",2014,"MYC ALIC","Mycetophyllia aliciae",0,8.97224365569273e-10,2.99537037037037e-05,Inf,5,2,2160,"Recent"
"SEFCRI",2014,"ORB FAVE","Orbicella faveolata",0,1.37490092973632e-09,3.70796565482519e-05,Inf,12,2,2160,"Recent"
"SEFCRI",2014,"ORB FRAN","Orbicella franksi",0,0,0,NA,1,1,1294,"Recent"
"SEFCRI",2014,"POR ASTR","Porites astreoides",0.934000760798146,0.104553050799575,0.323346641856035,34.6195266029249,34,2,2160,"Recent"
"SEFCRI",2014,"POR FURC","Porites furcata",0,5e-09,7.07106781186548e-05,Inf,2,1,1294,"Recent"
"SEFCRI",2014,"POR PORI","Porites porites",1.99193672839506,1.13467596313681,1.065211698742,53.4761814247111,9,2,2160,"Recent"
"SEFCRI",2014,"PSE CLIV","Pseudodiploria clivosa",0,0,0,NA,1,1,866,"Recent"
"SEFCRI",2014,"PSE STRI","Pseudodiploria strigosa",0.133641975308642,0.0178601782821752,0.133641977994099,100.000002009441,8,2,2160,"Recent"
"SEFCRI",2014,"SCO SPE.","Scolymia spp",0,0,0,NA,1,1,866,"Recent"
"SEFCRI",2014,"SID RADI","Siderastrea radians",0,8.03707990397805e-10,2.83497440975718e-05,Inf,3,2,2160,"Recent"
"SEFCRI",2014,"SID SIDE","Siderastrea siderea",0.935406368931588,0.0766705189503909,0.276894418416823,29.6015109169173,47,2,2160,"Recent"
"SEFCRI",2014,"SOL BOUR","Solenastrea bournoni",1.16486625514403,0.983069907121273,0.991498818517336,85.1169663589181,13,2,2160,"Recent"
"SEFCRI",2014,"STE INTE","Stephanocoenia intersepta",0.75727636778847,0.0646016120165128,0.254168471720064,33.5635023792345,46,2,2160,"Recent"
"SEFCRI",2016,"ACR CERV","Acropora cervicornis",2.5,6.25,2.5,100,2,1,6272,"Recent"
"SEFCRI",2016,"AGA AGAR","Agaricia agaricites",1.3412758964728,0,0,0,6,5,17039,"Recent"
"SEFCRI",2016,"AGA HUMI","Agaricia humilis",0,0,0,NA,2,1,3951,"Recent"
"SEFCRI",2016,"AGA LAMA","Agaricia lamarcki",0.878702962369896,0.470244089587122,0.685743457560568,78.0404171747744,7,2,4996,"Recent"
"SEFCRI",2016,"AGA SPE.","Agaricia spp",0,0,0,NA,2,1,3951,"Recent"
"SEFCRI",2016,"COL NATA","Colpophyllia natans",0,0,0,NA,2,1,3951,"Recent"
"SEFCRI",2016,"DIC STOK","Dichocoenia stokesii",0,2.32119062169879e-11,4.81787361986466e-06,Inf,5,4,16027,"Recent"
"SEFCRI",2016,"EUS FAST","Eusmilia fastigiata",0,0,0,NA,2,2,2386,"Recent"
"SEFCRI",2016,"HEL CUCU","Helioceris cucullata",0,0,0,NA,2,1,1238,"Recent"
"SEFCRI",2016,"MAD DECA","Madracis decactis",0.662804835195727,0.028291861092472,0.168201846281401,25.377281116504,27,6,9486,"Recent"
"SEFCRI",2016,"MAD SENA","Madracis senaria",0.59645403738678,0,0,0,4,2,5189,"Recent"
"SEFCRI",2016,"MAN AREO","Manicina areolata",0,0,0,NA,2,1,3951,"Recent"
"SEFCRI",2016,"MEA DANA","Meandrina danae",0,2.03010223760427e-09,4.50566558635267e-05,Inf,6,1,3951,"Recent"
"SEFCRI",2016,"MEA JACK","Meandrina jacksoni",0,0,0,NA,2,1,3951,"Recent"
"SEFCRI",2016,"MEA MEAN","Meandrina meandrites",1.42642642642643,5.90470412337734e-10,2.42995969583393e-05,0.00170352963939516,10,4,7326,"Recent"
"SEFCRI",2016,"MON CAVE","Montastraea cavernosa",2.89661316808408,1.92586289629867,1.38775462395146,47.9095600076062,61,9,24105,"Recent"
"SEFCRI",2016,"MYC ALIC","Mycetophyllia aliciae",0,0,0,NA,2,1,3951,"Recent"
"SEFCRI",2016,"OCU DIFF","Oculina diffusa",1.20627957982223,3.86647594141257e-09,6.21809934096632e-05,0.00515477460198959,3,2,8663,"Recent"
"SEFCRI",2016,"ORB ANNU","Orbicella annularis",8.33333333333333,0,0,0,1,1,6272,"Recent"
"SEFCRI",2016,"ORB FRAN","Orbicella franksi",5.41118525579917,1.18351320210642,1.08789392962109,20.1045404693028,5,2,5245,"Recent"
"SEFCRI",2016,"POR ASTR","Porites astreoides",1.47423242008532,1.07033722816235,1.03457103582226,70.1769288022027,53,10,25343,"Recent"
"SEFCRI",2016,"POR PORI","Porites porites",0.403216414331712,0.0521723397607918,0.228412652365826,56.6476572498656,13,6,14597,"Recent"
"SEFCRI",2016,"PSE CLIV","Pseudodiploria clivosa",0,0,0,NA,1,1,6272,"Recent"
"SEFCRI",2016,"PSE STRI","Pseudodiploria strigosa",95,0,0,0,2,1,3951,"Recent"
"SEFCRI",2016,"SID RADI","Siderastrea radians",0.998725347377857,0.503814518290938,0.709798928071139,71.0704829846072,27,7,22310,"Recent"
"SEFCRI",2016,"SID SIDE","Siderastrea siderea",2.85479896893717,1.41064363203578,1.1877051957602,41.6038119910902,85,10,25343,"Recent"
"SEFCRI",2016,"SOL BOUR","Solenastrea bournoni",2.57960010124019,3.70122868798871,1.92385776189112,74.5796901219762,16,6,21072,"Recent"
"SEFCRI",2016,"STE INTE","Stephanocoenia intersepta",1.24909198181897,0.16778801550385,0.409619354405832,32.79336993336,65,10,25343,"Recent"
"SEFCRI",2018,"AGA AGAR","Agaricia agaricites",0.0268562401263823,0.000491537885020354,0.0221706536895138,82.5530810909545,16,4,6963,"Recent"
"SEFCRI",2018,"AGA FRAG","Agaricia fragilis",2.93986835082725,0,0,0,7,6,11242,"Recent"
"SEFCRI",2018,"AGA LAMA","Agaricia lamarcki",0,0,0,NA,3,2,5245,"Recent"
"SEFCRI",2018,"COL NATA","Colpophyllia natans",0,0,0,NA,1,1,1294,"Recent"
"SEFCRI",2018,"DIC STOK","Dichocoenia stokesii",0,0,0,NA,5,4,10451,"Recent"
"SEFCRI",2018,"EUS FAST","Eusmilia fastigiata",0,0,0,NA,1,1,866,"Recent"
"SEFCRI",2018,"MAD AURE","Madracis auretenra",0,0,0,NA,2,1,3951,"Recent"
