REGION,YEAR,species_name,avBlePrev,SE_B
SEFCRI,2014,Agaricia agaricites,0,7.208545930402817e-5
SEFCRI,2014,Agaricia fragilis,50,70.71067811865476
SEFCRI,2014,Agaricia humilis,0,0
SEFCRI,2014,Agaricia lamarcki,20.046296296296294,28.34974409763506
SEFCRI,2014,Colpophyllia natans,0,7.208545930402817e-5
SEFCRI,2014,Dichocoenia stokesii,3.328189300411522,9.984567901315064
SEFCRI,2014,Diploria labyrinthiformis,0,5.9907407407407405e-5
SEFCRI,2014,Eusmilia fastigiata,0,7.208545930402817e-5
SEFCRI,2014,Madracis auretenra,0,0
SEFCRI,2014,Madracis decactis,4.279100529100529,11.321435835115897
SEFCRI,2014,Meandrina meandrites,4.866309523809524,10.581285171191395
SEFCRI,2014,Montastraea cavernosa,9.993147413286302,15.79519063338387
SEFCRI,2014,Mussa angulosa,0,0
SEFCRI,2014,Mycetophyllia aliciae,0,5.9907407407407405e-5
SEFCRI,2014,Orbicella faveolata,57.757201646090536,39.272637986294356
SEFCRI,2014,Orbicella franksi,0,0
SEFCRI,2014,Porites astreoides,1.932832244008715,4.513768471642512
SEFCRI,2014,Porites furcata,0,1e-4
SEFCRI,2014,Porites porites,0,7.208545930402817e-5
SEFCRI,2014,Pseudodiploria clivosa,0,0
SEFCRI,2014,Pseudodiploria strigosa,0,7.208545930402817e-5
SEFCRI,2014,Siderastrea radians,20.046296296296294,28.349744097571765
SEFCRI,2014,Siderastrea siderea,37.116216757170704,22.020598258116923
SEFCRI,2014,Solenastrea bournoni,14.996141975308639,23.432363977720264
SEFCRI,2014,Stephanocoenia intersepta,14.089206916468122,17.359276251401635
SEFCRI,2016,Acropora cervicornis,0,1e-4
SEFCRI,2016,Agaricia agaricites,83.05211573449145,0
SEFCRI,2016,Agaricia humilis,0,0
SEFCRI,2016,Agaricia lamarcki,0,6.17169111804511e-5
SEFCRI,2016,Colpophyllia natans,0,0
SEFCRI,2016,Dichocoenia stokesii,0,6.813502215012167e-6
SEFCRI,2016,Eusmilia fastigiata,0,0
SEFCRI,2016,Helioceris cucullata,0,0
SEFCRI,2016,Madracis decactis,0.6955692599620493,1.7165638522477111
SEFCRI,2016,Madracis senaria,0,0
SEFCRI,2016,Manicina areolata,0,0
SEFCRI,2016,Meandrina danae,0,7.80404171747744e-5
SEFCRI,2016,Meandrina jacksoni,0,0
SEFCRI,2016,Meandrina meandrites,14.264264264264265,4.2088136535289884e-5
SEFCRI,2016,Montastraea cavernosa,12.689092684781857,15.606688342741524
SEFCRI,2016,Mycetophyllia aliciae,0,0
SEFCRI,2016,Oculina diffusa,6.0313978991111625,8.793720420177767e-5
SEFCRI,2016,Orbicella annularis,100,0
SEFCRI,2016,Orbicella franksi,0,2.467111534795043e-5
SEFCRI,2016,Porites astreoides,4.677329834668351,4.880598874293179
SEFCRI,2016,Porites porites,0,4.9264317063764615e-5
SEFCRI,2016,Pseudodiploria clivosa,0,0
SEFCRI,2016,Pseudodiploria strigosa,0,0
SEFCRI,2016,Siderastrea radians,66.40575974899147,20.62940111459424
SEFCRI,2016,Siderastrea siderea,29.41410487218997,18.73622447061787
SEFCRI,2016,Solenastrea bournoni,28.13859719058466,13.931870138521404
SEFCRI,2016,Stephanocoenia intersepta,28.887805064514854,13.797483517266297
SEFCRI,2018,Agaricia agaricites,5.3712480252764605,7.680135895720066
SEFCRI,2018,Agaricia fragilis,17.41682974559687,0
SEFCRI,2018,Agaricia lamarcki,0,0
SEFCRI,2018,Colpophyllia natans,0,0
SEFCRI,2018,Dichocoenia stokesii,0,0
SEFCRI,2018,Eusmilia fastigiata,0,0
