REGION,YEAR,SPECIES_CD,SPECIES_NAME,avMaxdiam,Var_maxdiam,SE_maxdiam,n_sites,n_strat,ngrtot
SEFCRI,2014,ACR CERV,Acropora cervicornis,29.416666666666664,23.34722222222219,4.831896338108072,2,1,6272
SEFCRI,2014,AGA AGAR,Agaricia agaricites,12.49537037037037,9.904311556927299,3.147111621300919,4,2,2160
SEFCRI,2014,AGA FRAG,Agaricia fragilis,13.406119027661358,123.67834756953982,11.121076727077277,3,2,2386
SEFCRI,2014,AGA HUMI,Agaricia humilis,7.5,0,0,1,1,866
SEFCRI,2014,AGA LAMA,Agaricia lamarcki,22.381492370152596,7.1190828913367135,2.66816095678966,7,4,9524
SEFCRI,2014,COL NATA,Colpophyllia natans,25.916139749223017,42.282102590423996,6.502468961127303,6,4,9331
SEFCRI,2014,DIC STOK,Dichocoenia stokesii,8.901311728395061,13.832081100680156,3.71915058859952,13,2,2160
SEFCRI,2014,DIP LABY,Diploria labyrinthiformis,23.211394844615757,10.130692879570718,3.1828749393544697,7,4,4151
SEFCRI,2014,EUS FAST,Eusmilia fastigiata,11.253476283300845,0.5483169623575219,0.7404842755639865,10,5,5130
SEFCRI,2014,FAV FRAG,Favia fragum,5,0,0,1,1,1092
SEFCRI,2014,ISO SINU,Isophyllia sinuosa,16,0,0,1,1,1294
SEFCRI,2014,MAD AURE,Madracis auretenra,10,0,0,1,1,866
SEFCRI,2014,MAD DECA,Madracis decactis,14.410360440988311,1.8411174285515481,1.3568778237378443,21,5,7183
SEFCRI,2014,MAN AREO,Manicina areolata,24.272422464375524,0,0,2,2,2386
SEFCRI,2014,MEA MEAN,Meandrina meandrites,16.65703410666251,23.30844715148047,4.82788226363076,56,8,15199
SEFCRI,2014,MON CAVE,Montastraea cavernosa,22.238427030401006,96.07674734992602,9.801874685483693,62,8,15199
SEFCRI,2014,MUS ANGU,Mussa angulosa,4,0,0,1,1,866
SEFCRI,2014,MYC ALIC,Mycetophyllia aliciae,17.212037037037035,7.895574417009602,2.809906478338666,5,2,2160
SEFCRI,2014,OCU DIFF,Oculina diffusa,18,0,0,1,1,6272
SEFCRI,2014,OCU SPE.,Oculina spp,20.245189398523536,0,0,3,3,8263
SEFCRI,2014,ORB ANNU,Orbicella annularis,27.40176026823135,0,0,2,2,2386
SEFCRI,2014,ORB FAVE,Orbicella faveolata,46.44376693766938,40.33791443124483,6.3512136187696315,18,4,6150
SEFCRI,2014,ORB FRAN,Orbicella franksi,37.83676024779228,0,0,3,3,5058
SEFCRI,2014,POR ASTR,Porites astreoides,9.932773430687275,4.496156045901239,2.12041412132188,61,8,15199
SEFCRI,2014,POR FURC,Porites furcata,10,1e-8,1e-4,2,1,1294
SEFCRI,2014,POR PORI,Porites porites,8.10518392972076,5.723934565007811,2.3924745693544605,19,5,10423
SEFCRI,2014,PSE CLIV,Pseudodiploria clivosa,42.48536194104672,0,0,5,5,9974
SEFCRI,2014,PSE STRI,Pseudodiploria strigosa,41.59476664448074,426.317296610486,20.647452545301707,20,7,14166
SEFCRI,2014,SCO SPE.,Scolymia spp,5,0,0,1,1,866
SEFCRI,2014,SID RADI,Siderastrea radians,6.408024754085034,1.2287903144396122,1.1085081481160217,17,7,12301
SEFCRI,2014,SID SIDE,Siderastrea siderea,8.321744494421152,2.823910677016802,1.6804495461086602,83,8,15199
SEFCRI,2014,SID SPE.,Siderastrea spp,4,0,0,1,1,2898
SEFCRI,2014,SOL BOUR,Solenastrea bournoni,16.540839919772917,11.814232639047907,3.4371838238662633,29,6,13074
SEFCRI,2014,SOL HYAD,Solenastrea hyades,11,0,0,1,1,1294
