REGION,YEAR,species_name,avDisPrev,SE_D
SEFCRI,2014,Agaricia agaricites,0,7.208545930402817e-5
SEFCRI,2014,Agaricia fragilis,0,1e-4
SEFCRI,2014,Agaricia humilis,0,0
SEFCRI,2014,Agaricia lamarcki,0,7.208545930402817e-5
SEFCRI,2014,Colpophyllia natans,0,7.208545930402817e-5
SEFCRI,2014,Dichocoenia stokesii,0,7.208545930402817e-5
SEFCRI,2014,Diploria labyrinthiformis,0,5.9907407407407405e-5
SEFCRI,2014,Eusmilia fastigiata,0,7.208545930402817e-5
SEFCRI,2014,Madracis auretenra,0,0
SEFCRI,2014,Madracis decactis,0,7.208545930402817e-5
SEFCRI,2014,Meandrina meandrites,0,7.208545930402817e-5
SEFCRI,2014,Montastraea cavernosa,0,7.208545930402817e-5
SEFCRI,2014,Mussa angulosa,0,0
SEFCRI,2014,Mycetophyllia aliciae,0,5.9907407407407405e-5
SEFCRI,2014,Orbicella faveolata,0,7.208545930402817e-5
SEFCRI,2014,Orbicella franksi,0,0
SEFCRI,2014,Porites astreoides,0,7.208545930402817e-5
SEFCRI,2014,Porites furcata,0,1e-4
SEFCRI,2014,Porites porites,0,7.208545930402817e-5
SEFCRI,2014,Pseudodiploria clivosa,0,0
SEFCRI,2014,Pseudodiploria strigosa,0,7.208545930402817e-5
SEFCRI,2014,Siderastrea radians,0,4.009259259259259e-5
SEFCRI,2014,Siderastrea siderea,1.4680473753829015,4.142824826920113
SEFCRI,2014,Solenastrea bournoni,6.656378600823046,19.969135802509385
SEFCRI,2014,Stephanocoenia intersepta,0.37053840877914945,1.9253740509010666
SEFCRI,2016,Acropora cervicornis,17.85,25.24371208835975
SEFCRI,2016,Agaricia agaricites,0,0
SEFCRI,2016,Agaricia humilis,0,0
SEFCRI,2016,Agaricia lamarcki,8.778242594075259,11.865547669434024
SEFCRI,2016,Colpophyllia natans,0,0
SEFCRI,2016,Dichocoenia stokesii,0,6.813502215012167e-6
SEFCRI,2016,Eusmilia fastigiata,0,0
SEFCRI,2016,Helioceris cucullata,0,0
SEFCRI,2016,Madracis decactis,4.542504743833017,3.376219199574091e-5
SEFCRI,2016,Madracis senaria,0,0
SEFCRI,2016,Manicina areolata,0,0
SEFCRI,2016,Meandrina danae,0,7.80404171747744e-5
SEFCRI,2016,Meandrina jacksoni,0,0
SEFCRI,2016,Meandrina meandrites,14.264264264264265,4.2088136535289884e-5
SEFCRI,2016,Montastraea cavernosa,22.27289065200857,16.316701121213292
SEFCRI,2016,Mycetophyllia aliciae,0,0
SEFCRI,2016,Oculina diffusa,0,8.793720420177767e-5
SEFCRI,2016,Orbicella annularis,66.7,0
SEFCRI,2016,Orbicella franksi,12.335557673975215,12.335557673975213
SEFCRI,2016,Porites astreoides,2.1730773783687805,2.92631734571101
SEFCRI,2016,Porites porites,2.216208810029458,3.134192556569038
SEFCRI,2016,Pseudodiploria clivosa,0,0
SEFCRI,2016,Pseudodiploria strigosa,100,0
SEFCRI,2016,Siderastrea radians,20.280983863738236,18.407612786795777
SEFCRI,2016,Siderastrea siderea,15.338402525750071,10.538834448235786
SEFCRI,2016,Solenastrea bournoni,7.935246772968868,12.935724269838847
SEFCRI,2016,Stephanocoenia intersepta,3.9835604670586227,4.421437892316006
SEFCRI,2018,Agaricia agaricites,0,4.623717097422103e-5
SEFCRI,2018,Agaricia fragilis,0,0
SEFCRI,2018,Agaricia lamarcki,0,0
SEFCRI,2018,Colpophyllia natans,0,0
SEFCRI,2018,Dichocoenia stokesii,0,0
SEFCRI,2018,Eusmilia fastigiata,0,0
SEFCRI,2018,Madracis auretenra,0,0
SEFCRI,2018,Madracis decactis,0,5.062572675579375e-5
SEFCRI,2018,Manicina areolata,0,0
