REGION,YEAR,SPECIES_CD,SPECIES_NAME,avMort,Var,SE,CV_perc,n_sites,n_strat,ngrtot,MORT_TYPE
SEFCRI,2014,ACR CERV,Acropora cervicornis,1.25,1.5625,1.25,100,2,1,6272,Recent
SEFCRI,2014,AGA AGAR,Agaricia agaricites,0,2.598156721536351e-9,5.0972117098825224e-5,Inf,4,2,2160,Recent
SEFCRI,2014,AGA FRAG,Agaricia fragilis,0,1.4706105537400693e-9,3.83485404381975e-5,Inf,3,2,2386,Recent
SEFCRI,2014,AGA HUMI,Agaricia humilis,0,0,0,NA,1,1,866,Recent
SEFCRI,2014,AGA LAMA,Agaricia lamarcki,6.872112557748845,1.0287273254954893e-10,1.0142619609822155e-5,1.4759099948654882e-4,7,4,9524,Recent
SEFCRI,2014,COL NATA,Colpophyllia natans,0.464044582574215,0.2153373747126347,0.4640445826778228,100.00000002232711,6,4,9331,Recent
SEFCRI,2014,DIC STOK,Dichocoenia stokesii,0,8.006203798963573e-10,2.8295235992943357e-5,Inf,13,2,2160,Recent
SEFCRI,2014,DIP LABY,Diploria labyrinthiformis,0,2.429422752894657e-10,1.5586605637195857e-5,Inf,7,4,4151,Recent
SEFCRI,2014,EUS FAST,Eusmilia fastigiata,0,2.8332909017906115e-10,1.6832382189668257e-5,Inf,10,5,5130,Recent
SEFCRI,2014,FAV FRAG,Favia fragum,0,0,0,NA,1,1,1092,Recent
SEFCRI,2014,ISO SINU,Isophyllia sinuosa,0,0,0,NA,1,1,1294,Recent
SEFCRI,2014,MAD AURE,Madracis auretenra,0,0,0,NA,1,1,866,Recent
SEFCRI,2014,MAD DECA,Madracis decactis,0.541480515864478,0.0029764667897356724,0.05455700495569448,10.07552503871608,21,5,7183,Recent
SEFCRI,2014,MAN AREO,Manicina areolata,22.711651299245602,0,0,0,2,2,2386,Recent
SEFCRI,2014,MEA MEAN,Meandrina meandrites,0.273104283721401,0.05766443281267191,0.24013419750771006,87.92765687728122,56,8,15199,Recent
SEFCRI,2014,MON CAVE,Montastraea cavernosa,0.44224152695927155,0.08358035536251299,0.2891026727003972,65.37212248885488,62,8,15199,Recent
SEFCRI,2014,MUS ANGU,Mussa angulosa,0,0,0,NA,1,1,866,Recent
SEFCRI,2014,MYC ALIC,Mycetophyllia aliciae,0,8.97224365569273e-10,2.9953703703703703e-5,Inf,5,2,2160,Recent
SEFCRI,2014,OCU DIFF,Oculina diffusa,0,0,0,NA,1,1,6272,Recent
SEFCRI,2014,OCU SPE.,Oculina spp,7.700593004961878,0,0,0,3,3,8263,Recent
SEFCRI,2014,ORB ANNU,Orbicella annularis,0.5720871751886002,0,0,0,2,2,2386,Recent
SEFCRI,2014,ORB FAVE,Orbicella faveolata,0,1.2720082843104855e-10,1.127833447061438e-5,Inf,18,4,6150,Recent
SEFCRI,2014,ORB FRAN,Orbicella franksi,0.42803479636219854,0,0,0,3,3,5058,Recent
