"REGION","SURVEY","YEAR","SUB_REGION_NAME","PRIMARY_SAMPLE_UNIT","LAT_DEGREES","LON_DEGREES","STRAT","HABITAT_CD","PROT","avsitemort","MORT_TYPE"
"SEFCRI","NCRMP",2016,"Broward-Miami","3001",26.20328,-80.08675,"NEAR0","RGSH","0",23,"Old"
"SEFCRI","NCRMP",2016,"Broward-Miami","3002",26.1882,-80.0886,"NEAR0","RGSH","0",15,"Old"
"SEFCRI","NCRMP",2016,"Broward-Miami","3004",26.16218333,-80.09666667,"NEAR0","CPSH","0",0,"Old"
"SEFCRI","NCRMP",2016,"Broward-Miami","3009",26.0847,-80.0998,"NEAR0","CPSH","0",0.333333333333333,"Old"
"SEFCRI","NCRMP",2016,"Broward-Miami","3016",26.00153,-80.11192,"NEAR0","CPSH","0",0,"Old"
"SEFCRI","NCRMP",2016,"Broward-Miami","3021",25.92597,-80.10537,"NEAR0","RGSH","0",20,"Old"
"SEFCRI","NCRMP",2016,"Broward-Miami","3030",25.87205,-80.11192,"NEAR0","RGSH","0",0,"Old"
"SEFCRI","NCRMP",2016,"Broward-Miami","3030",25.87205,-80.11191667,"NEAR0","RGSH","0",70,"Old"
"SEFCRI","NCRMP",2016,"Broward-Miami","3036",25.80918,-80.09967,"NEAR0","RGSH","0",2,"Old"
"SEFCRI","NCRMP",2016,"Broward-Miami","3036",25.80918333,-80.09966667,"NEAR0","RGSH","0",0,"Old"
"SEFCRI","NCRMP",2016,"Broward-Miami","3037",25.80663,-80.10753,"NEAR0","RGSH","0",3.75,"Old"
"SEFCRI","NCRMP",2016,"Broward-Miami","3040",25.80368,-80.0914,"NEAR0","RGSH","0",32.5,"Old"
"SEFCRI","NCRMP",2016,"Broward-Miami","3045",26.21538,-80.08393,"NEAR1","RGSH","0",14.2592592592593,"Old"
"SEFCRI","NCRMP",2016,"Broward-Miami","3057",26.08965,-80.09368,"INNR0","LIRI","0",0,"Old"
"SEFCRI","NCRMP",2016,"Broward-Miami","3058",26.05528,-80.0981,"INNR0","LIRI","0",14.1666666666667,"Old"
"SEFCRI","NCRMP",2016,"Broward-Miami","3059",26.03543,-80.10108,"INNR0","LIRI","0",0,"Old"
"SEFCRI","NCRMP",2016,"Broward-Miami","3061",25.96068,-80.1022,"INNR0","LIRI","0",18.6,"Old"
"SEFCRI","NCRMP",2016,"Broward-Miami","3064",25.86882,-80.10455,"INNR0","LIRI","0",36.6666666666667,"Old"
"SEFCRI","NCRMP",2016,"Broward-Miami","3066",25.85471667,-80.09971667,"INNR1","LIRI","0",0,"Old"
"SEFCRI","NCRMP",2016,"Broward-Miami","3066",25.85472,-80.09972,"INNR1","LIRI","0",0.333333333333333,"Old"
"SEFCRI","NCRMP",2016,"Broward-Miami","3067",25.83123,-80.09333,"INNR0","LIRI","0",63.75,"Old"
"SEFCRI","NCRMP",2016,"Broward-Miami","3069",26.21775,-80.08175,"INNR1","LIRI","0",7,"Old"
"SEFCRI","NCRMP",2016,"Broward-Miami","3071",26.04477,-80.09837,"INNR0","LIRI","0",0,"Old"
"SEFCRI","NCRMP",2016,"Broward-Miami","3072",25.99623,-80.10095,"INNR1","LIRI","0",0,"Old"
"SEFCRI","NCRMP",2016,"Broward-Miami","3078",25.92745,-80.09992,"INNR1","LIRI","0",6,"Old"
"SEFCRI","NCRMP",2016,"Broward-Miami","3078",25.92745,-80.09991667,"INNR1","LIRI","0",0,"Old"
"SEFCRI","NCRMP",2016,"Broward-Miami","3083",25.83775,-80.0995,"INNR1","LIRI","0",0.875,"Old"
"SEFCRI","NCRMP",2016,"Broward-Miami","3085",26.23083,-80.06935,"NEAR1","PTCH","0",0,"Old"
"SEFCRI","NCRMP",2016,"Broward-Miami","3089",25.76967,-80.08827,"NEAR0","APRD","0",0,"Old"
"SEFCRI","NCRMP",2016,"Broward-Miami","3091",26.19517,-80.0795,"MIDR0","LIRM","0",0.916666666666667,"Old"
"SEFCRI","NCRMP",2016,"Broward-Miami","3094",26.11138,-80.08658,"MIDR0","LIRM","0",0,"Old"
"SEFCRI","NCRMP",2016,"Broward-Miami","3095",26.0635,-80.09392,"MIDR0","LIRM","0",2.78947368421053,"Old"
"SEFCRI","NCRMP",2016,"Broward-Miami","3097",26.03021667,-80.09455,"MIDR0","LIRM","0",0,"Old"
"SEFCRI","NCRMP",2016,"Broward-Miami","3097",26.03022,-80.09455,"MIDR0","LIRM","0",26.6666666666667,"Old"
"SEFCRI","NCRMP",2016,"Broward-Miami","3099",25.98675,-80.09298,"MIDR0","LIRM","0",2,"Old"
"SEFCRI","NCRMP",2016,"Broward-Miami","3105",25.8614,-80.09255,"MIDR1","LIRM","0",60,"Old"
"SEFCRI","NCRMP",2016,"Broward-Miami","3108",26.23311667,-80.0742,"MIDR1","LIRM","0",0,"Old"
"SEFCRI","NCRMP",2016,"Broward-Miami","3108",26.23312,-80.0742,"MIDR1","LIRM","0",1.42857142857143,"Old"
"SEFCRI","NCRMP",2016,"Broward-Miami","3110",26.14783,-80.08213,"MIDR1","LIRM","0",0,"Old"
"SEFCRI","NCRMP",2016,"Broward-Miami","3115",26.07167,-80.09243,"MIDR1","LIRM","0",20,"Old"
"SEFCRI","NCRMP",2016,"Broward-Miami","3117",26.03328,-80.09428,"MIDR1","LIRM","0",9.8,"Old"
"SEFCRI","NCRMP",2016,"Broward-Miami","3119",26.17467,-80.07573,"OFFR1","LIRO","0",0,"Old"
"SEFCRI","NCRMP",2016,"Broward-Miami","3120",26.09685,-80.08392,"OFFR1","LIRO","0",3.18181818181818,"Old"
"SEFCRI","NCRMP",2016,"Broward-Miami","3124",26.02235,-80.08727,"OFFR1","LIRO","0",2.30769230769231,"Old"
"SEFCRI","NCRMP",2016,"Broward-Miami","3124",26.02235,-80.08726667,"OFFR1","LIRO","0",0,"Old"
"SEFCRI","NCRMP",2016,"Broward-Miami","3127",25.99412,-80.08917,"OFFR0","LIRO","0",0,"Old"
"SEFCRI","NCRMP",2016,"Broward-Miami","3138",26.13005,-80.08028,"OFFR1","LIRO","0",0,"Old"
"SEFCRI","NCRMP",2016,"Broward-Miami","3139",26.09797,-80.08297,"OFFR1","LIRO","0",0,"Old"
"SEFCRI","NCRMP",2016,"Broward-Miami","3140",26.09627,-80.08293,"OFFR1","SPGR","0",0,"Old"
"SEFCRI","NCRMP",2016,"Broward-Miami","3142",26.06533,-80.09283,"OFFR1","SPGR","0",1.66666666666667,"Old"
"SEFCRI","NCRMP",2016,"Broward-Miami","3142",26.06533333,-80.09283333,"OFFR1","SPGR","0",0,"Old"
"SEFCRI","NCRMP",2016,"Broward-Miami","3143",26.05881667,-80.0857,"OFFR1","SPGR","0",0,"Old"
"SEFCRI","NCRMP",2016,"Broward-Miami","3143",26.05882,-80.0857,"OFFR1","SPGR","0",0,"Old"
"SEFCRI","NCRMP",2016,"Broward-Miami","3144",26.05753,-80.08658,"OFFR1","CPDP","0",6,"Old"
"SEFCRI","NCRMP",2016,"Broward-Miami","3150",25.78822,-80.08813,"OFFR1","LIRO","0",4.0625,"Old"
"SEFCRI","NCRMP",2016,"Broward-Miami","3152",26.22498,-80.06967,"OFFR1","APRD","0",10.5555555555556,"Old"
"SEFCRI","NCRMP",2016,"Broward-Miami","3154",26.19408,-80.06995,"OFFR0","APRD","0",17,"Old"
"SEFCRI","NCRMP",2016,"Broward-Miami","3154",26.19408333,-80.06995,"OFFR0","APRD","0",0,"Old"
"SEFCRI","NCRMP",2016,"Broward-Miami","3800",26.19573,-80.07925,"MIDR0","LIRM","0",16.578947368421,"Old"
"SEFCRI","NCRMP",2016,"Deerfield","3160",26.29583,-80.07473,"NEAR0","RGSH","0",0,"Old"
"SEFCRI","NCRMP",2016,"Deerfield","3162",26.3288,-80.0662,"MIDR0","LIRM","0",8.4375,"Old"
"SEFCRI","NCRMP",2016,"Deerfield","3165",26.31065,-80.06547,"MIDR0","LIRM","0",1.11111111111111,"Old"
"SEFCRI","NCRMP",2016,"Deerfield","3167",26.36958,-80.05447,"OFFR1","LIRO","0",1.66666666666667,"Old"
"SEFCRI","NCRMP",2016,"Deerfield","3172",26.33358,-80.05777,"OFFR1","SPGR","0",13.3333333333333,"Old"
"SEFCRI","NCRMP",2016,"Deerfield","3174",26.30063,-80.06013,"OFFR1","SPGR","0",13.8888888888889,"Old"
"SEFCRI","NCRMP",2016,"Deerfield","3174",26.30063333,-80.06013333,"OFFR1","SPGR","0",6.66666666666667,"Old"
"SEFCRI","NCRMP",2016,"Deerfield","3175",26.37747,-80.05298,"OFFR0","APRD","0",0,"Old"
"SEFCRI","NCRMP",2016,"Deerfield","3178",26.28233,-80.06113,"OFFR1","SPGR","0",5.57142857142857,"Old"
"SEFCRI","NCRMP",2016,"Martin","3214",26.99538,-80.06475,"DPRC0","DPRC","0",0,"Old"
"SEFCRI","NCRMP",2016,"Martin","3265",27.12583,-80.13417,"NEAR0","RGSH","0",2.5,"Old"
"SEFCRI","NCRMP",2016,"Martin","3266",27.11625,-80.12892,"NEAR0","CPSH","0",0,"Old"
"SEFCRI","NCRMP",2016,"Martin","3270",27.10708,-80.1235,"NEAR0","RGSH","0",0,"Old"
"SEFCRI","NCRMP",2016,"Martin","3279",27.14025,-80.07192,"DPRC0","RGDP","0",0,"Old"
"SEFCRI","NCRMP",2016,"Martin","3285",26.99538,-80.06475,"DPRC0","RGDP","0",45,"Old"
"SEFCRI","NCRMP",2016,"Martin","3286",27.09083,-80.04242,"DPRC0","RGDP","0",0,"Old"
"SEFCRI","NCRMP",2016,"Martin","3288",27.06622,-80.04387,"DPRC0","RGDP","0",10,"Old"
"SEFCRI","NCRMP",2016,"Martin","3289",27.05635,-80.03387,"DPRC1","RGDP","0",3.33333333333333,"Old"
"SEFCRI","NCRMP",2016,"North Palm Beach","3212",26.74003,-80.03408,"NEAR0","RGSH","0",0,"Old"
