REGION,SURVEY,YEAR,SUB_REGION_NAME,ADMIN,PROT,PRIMARY_SAMPLE_UNIT,LAT_DEGREES,LON_DEGREES,STRAT,HABITAT_CD,METERS_COMPLETED,SPECIES_CD,SPECIES_NAME,avg_cm2,avg_cm3,var_cm2,var_cm3,avg_maxdiam,var_maxdiam,n_colonies,DEPTH_M
SEFCRI,NCRMP,2016,Broward-Miami,NA,0,3001,26.20328,-80.08675,NEAR0,RGSH,10,POR ASTR,Porites astreoides,22.333333333333332,34.90658503988659,297.64583333333337,502.00296329361754,7.333333333333333,8.333333333333332,3,17
SEFCRI,NCRMP,2016,Broward-Miami,NA,0,3001,26.20328,-80.08675,NEAR0,RGSH,10,POR PORI,Porites porites,7,15.053464798451092,NA,NA,5,NA,1,17
SEFCRI,NCRMP,2016,Broward-Miami,NA,0,3001,26.20328,-80.08675,NEAR0,RGSH,10,SID SIDE,Siderastrea siderea,0.4499999999999993,0.4908738521234053,NA,NA,6,NA,1,17
SEFCRI,NCRMP,2016,Broward-Miami,NA,0,3002,26.1882,-80.0886,NEAR0,RGSH,10,ACR CERV,Acropora cervicornis,410.9642857142857,616.4206835403008,358252.8255494506,576283.5649850047,37.785714285714285,901.7197802197804,14,13
SEFCRI,NCRMP,2016,Broward-Miami,NA,0,3002,26.1882,-80.0886,NEAR0,RGSH,10,POR ASTR,Porites astreoides,249.13611111111112,324.8948583100486,85418.87611111111,150546.14114634943,21.77777777777778,273.94444444444446,9,13
SEFCRI,NCRMP,2016,Broward-Miami,NA,0,3002,26.1882,-80.0886,NEAR0,RGSH,10,POR PORI,Porites porites,23.46,28.182704096578437,502.308,564.2757834294348,8.2,14.2,5,13
SEFCRI,NCRMP,2016,Broward-Miami,NA,0,3004,26.16218333,-80.09666667,NEAR0,CPSH,10,AGA AGAR,Agaricia agaricites,19.25,19.471329467561738,NA,NA,7,NA,1,15
SEFCRI,NCRMP,2016,Broward-Miami,NA,0,3009,26.0847,-80.0998,NEAR0,CPSH,10,POR ASTR,Porites astreoides,62.12,59.15357167321781,1777.5298125,1982.2091900097444,11.6,18.424999999999997,5,1
SEFCRI,NCRMP,2016,Broward-Miami,NA,0,3009,26.0847,-80.0998,NEAR0,CPSH,10,STE INTE,Stephanocoenia intersepta,14.625,13.82628016814258,NA,NA,6.5,NA,1,1
SEFCRI,NCRMP,2016,Broward-Miami,NA,0,3016,26.00153,-80.11192,NEAR0,CPSH,10,SOL BOUR,Solenastrea bournoni,180,261.79938779914943,NA,NA,20,NA,1,16
SEFCRI,NCRMP,2016,Broward-Miami,NA,0,3021,25.92597,-80.10537,NEAR0,RGSH,10,SOL BOUR,Solenastrea bournoni,72.9,132.5359400733194,NA,NA,13.5,NA,1,32
SEFCRI,NCRMP,2016,Broward-Miami,NA,0,3030,25.87205,-80.11192,NEAR0,RGSH,10,SID SIDE,Siderastrea siderea,12.5,11.453723216212786,NA,NA,5,NA,1,21
SEFCRI,NCRMP,2016,Broward-Miami,NA,0,3030,25.87205,-80.11192,NEAR0,RGSH,10,SOL BOUR,Solenastrea bournoni,93.5,183.58682069415354,NA,NA,17,NA,1,21
