SURVEY,REGION,YEAR,SUB_REGION_NAME,PRIMARY_SAMPLE_UNIT,LAT_DEGREES,LON_DEGREES,STRAT,HABITAT_CD,PROT,dis_present,ble_present
DRM,SEFCRI,2014,Broward-Miami,4422,26.1602,-80.0830,MIDR0,LIRM,0,0,0
DRM,SEFCRI,2014,Broward-Miami,4423,26.2252,-80.0812,NEAR0,SCRS,0,1,1
DRM,SEFCRI,2014,Broward-Miami,4424,25.7684,-80.0890,OFFR1,LIRO,0,0,1
DRM,SEFCRI,2014,Broward-Miami,4426,26.2504,-80.0653,OFFR1,LIRO,0,0,1
DRM,SEFCRI,2014,Broward-Miami,4427,25.7738,-80.0880,OFFR0,LIRO,0,0,1
DRM,SEFCRI,2014,Broward-Miami,4428,25.9436,-80.0969,OFFR0,CPDP,0,0,1
DRM,SEFCRI,2014,Broward-Miami,4431,26.1774,-80.0919,NEAR1,RGSH,0,1,1
DRM,SEFCRI,2014,Broward-Miami,4432,26.2045,-80.0846,NEAR1,RGSH,0,0,1
DRM,SEFCRI,2014,Broward-Miami,4433,25.7965,-80.1038,NEAR0,RGSH,0,0,1
DRM,SEFCRI,2014,Broward-Miami,4434,25.8371,-80.1055,NEAR0,RGSH,0,0,1
DRM,SEFCRI,2014,Broward-Miami,4435,25.8931,-80.1080,NEAR0,RGSH,0,0,1
DRM,SEFCRI,2014,Broward-Miami,4436,25.9175,-80.1068,NEAR0,RGSH,0,1,1
DRM,SEFCRI,2014,Broward-Miami,4438,26.1539,-80.0820,MIDR1,LIRM,0,0,1
DRM,SEFCRI,2014,Broward-Miami,4439,26.2126,-80.0776,MIDR1,LIRM,0,0,1
DRM,SEFCRI,2014,Broward-Miami,4440,26.2531,-80.0722,MIDR1,LIRM,0,0,1
DRM,SEFCRI,2014,Broward-Miami,4441,25.9021,-80.1000,MIDR0,LIRM,0,0,1
DRM,SEFCRI,2014,Broward-Miami,4442,25.9824,-80.0954,MIDR0,LIRM,0,0,1
DRM,SEFCRI,2014,Broward-Miami,4445,25.8470,-80.0994,INNR1,LIRI,0,1,1
DRM,SEFCRI,2014,Broward-Miami,4446,26.0095,-80.1012,INNR1,LIRI,0,0,1
DRM,SEFCRI,2014,Broward-Miami,4447,26.1593,-80.0890,INNR1,LIRI,0,0,1
DRM,SEFCRI,2014,Broward-Miami,4448,25.7640,-80.0963,INNR0,LIRI,0,0,1
DRM,SEFCRI,2014,Broward-Miami,4449,25.7657,-80.0990,INNR0,LIRI,0,0,1
DRM,SEFCRI,2014,Broward-Miami,4450,25.8759,-80.0992,INNR0,LIRI,0,0,1
DRM,SEFCRI,2014,Broward-Miami,4451,26.0917,-80.0955,INNR0,LIRI,0,0,1
DRM,SEFCRI,2014,Broward-Miami,4674,25.8850,-80.1120,NEAR0,CPSH,0,0,1
DRM,SEFCRI,2014,Broward-Miami,4675,25.8878,-80.1174,NEAR0,CPSH,0,0,1
DRM,SEFCRI,2014,Broward-Miami,5139,25.8472,-80.1041,INNR1,LIRI,0,0,1
DRM,SEFCRI,2014,Broward-Miami,5143,26.0537,-80.0948,MIDR0,LIRM,0,0,1
DRM,SEFCRI,2014,Broward-Miami,5144,26.1043,-80.0894,MIDR0,LIRM,0,0,1
DRM,SEFCRI,2014,Broward-Miami,5146,26.1486,-80.0951,NEAR0,CPSH,0,0,1
DRM,SEFCRI,2014,Broward-Miami,5147,26.1025,-80.0974,NEAR1,CPSH,0,0,1
DRM,SEFCRI,2014,Broward-Miami,5148,26.0645,-80.0857,OFFR1,SPGR,0,0,1
DRM,SEFCRI,2014,Deerfield,4415,26.2630,-80.0768,NEAR0,CPSH,0,1,1
DRM,SEFCRI,2014,Martin,5157,27.1317,-80.1340,NEAR1,RGSH,0,0,1
DRM,SEFCRI,2014,Martin,5158,27.1082,-80.1233,NEAR0,RGSH,0,0,1
DRM,SEFCRI,2014,North Palm Beach,4632,26.7200,-80.0311,NEAR0,RGSH,0,0,0
DRM,SEFCRI,2014,North Palm Beach,5142,26.7270,-80.0321,NEAR0,RGSH,0,0,0
DRM,SEFCRI,2014,South Palm Beach,4409,26.6419,-80.0208,OFFR1,LIRO,0,0,0
DRM,SEFCRI,2014,South Palm Beach,4638,26.7134,-80.0290,NEAR0,RGSH,0,0,1
DRM,SEFCRI,2014,South Palm Beach,5140,26.6507,-80.0206,OFFR1,LIRO,0,0,1
DRM,SEFCRI,2014,South Palm Beach,5141,26.6988,-80.0308,NEAR0,RGSH,0,0,0
DRM,SEFCRI,2015,Broward-Miami,5199,25.8422,-80.1040,INNR0,LIRI,0,0,1
DRM,SEFCRI,2015,Broward-Miami,5204,25.9516,-80.1091,NEAR0,RGSH,0,0,1
DRM,SEFCRI,2015,Broward-Miami,5207,26.1498,-80.0968,NEAR0,CPSH,0,0,0
DRM,SEFCRI,2015,Broward-Miami,5208,26.1479,-80.0959,NEAR1,CPSH,0,1,0
DRM,SEFCRI,2015,Broward-Miami,5209,26.1599,-80.0825,MIDR0,LIRM,0,0,0
DRM,SEFCRI,2015,Broward-Miami,5210,26.1586,-80.0773,OFFR1,SPGR,0,0,0
DRM,SEFCRI,2015,Broward-Miami,5211,26.1494,-80.0894,INNR1,LIRI,0,0,1
DRM,SEFCRI,2015,Broward-Miami,5251,26.2128,-80.0899,NEAR0,RGSH,0,0,1
DRM,SEFCRI,2015,Broward-Miami,5257,26.0882,-80.1012,NEAR0,CPSH,0,0,1
DRM,SEFCRI,2015,Broward-Miami,5259,26.0829,-80.1034,NEAR0,RGSH,0,0,1
DRM,SEFCRI,2015,Broward-Miami,5263,26.0518,-80.1100,NEAR0,CPSH,0,1,1
DRM,SEFCRI,2015,Broward-Miami,5278,25.9439,-80.1133,NEAR0,CPSH,0,0,1
DRM,SEFCRI,2015,Broward-Miami,5279,25.9398,-80.1162,NEAR0,CPSH,0,0,1
DRM,SEFCRI,2015,Broward-Miami,5280,25.9254,-80.1040,NEAR0,CPSH,0,0,1
DRM,SEFCRI,2015,Broward-Miami,5282,25.8826,-80.1139,NEAR0,CPSH,0,1,1
DRM,SEFCRI,2015,Broward-Miami,5286,25.8087,-80.1119,NEAR0,RGSH,0,0,1
DRM,SEFCRI,2015,Broward-Miami,5289,25.7958,-80.0979,NEAR0,RGSH,0,0,1
DRM,SEFCRI,2015,Broward-Miami,5293,26.1099,-80.0996,NEAR1,RGSH,0,0,1
DRM,SEFCRI,2015,Broward-Miami,5297,26.1271,-80.0897,INNR0,LIRI,0,0,1
DRM,SEFCRI,2015,Broward-Miami,5298,26.1225,-80.0910,INNR0,LIRI,0,0,1
DRM,SEFCRI,2015,Broward-Miami,5300,26.0693,-80.0994,INNR0,LIRI,0,1,1
DRM,SEFCRI,2015,Broward-Miami,5301,25.9629,-80.1032,INNR0,LIRI,0,1,1
DRM,SEFCRI,2015,Broward-Miami,5302,25.9501,-80.1010,INNR1,LIRI,0,0,1
DRM,SEFCRI,2015,Broward-Miami,5303,25.8825,-80.1008,INNR0,LIRI,0,0,1
DRM,SEFCRI,2015,Broward-Miami,5306,26.0594,-80.0987,INNR1,LIRI,0,1,1
DRM,SEFCRI,2015,Broward-Miami,5308,25.8906,-80.1008,INNR1,LIRI,0,0,1
DRM,SEFCRI,2015,Broward-Miami,5309,25.8492,-80.1043,INNR1,LIRI,0,1,1
DRM,SEFCRI,2015,Broward-Miami,5310,26.1559,-80.0823,MIDR1,LIRM,0,1,1
DRM,SEFCRI,2015,Broward-Miami,5311,25.9592,-80.0989,NEAR0,PTCH,0,1,1
DRM,SEFCRI,2015,Broward-Miami,5312,25.7802,-80.0877,NEAR0,APRD,0,0,1
DRM,SEFCRI,2015,Broward-Miami,5317,26.0630,-80.0925,MIDR0,LIRM,0,1,1
DRM,SEFCRI,2015,Broward-Miami,5318,26.0467,-80.0945,MIDR0,LIRM,0,1,1
DRM,SEFCRI,2015,Broward-Miami,5321,25.8874,-80.0953,MIDR0,LIRM,0,0,1
DRM,SEFCRI,2015,Broward-Miami,5322,25.8292,-80.0919,MIDR0,LIRM,0,0,1
DRM,SEFCRI,2015,Broward-Miami,5326,26.1966,-80.0785,MIDR1,LIRM,0,0,1
DRM,SEFCRI,2015,Broward-Miami,5327,26.0734,-80.0929,MIDR1,LIRM,0,0,1
DRM,SEFCRI,2015,Broward-Miami,5331,25.8249,-80.0905,MIDR1,LIRM,0,0,1
DRM,SEFCRI,2015,Broward-Miami,5333,25.9437,-80.0969,OFFR0,CPDP,0,1,1
DRM,SEFCRI,2015,Broward-Miami,5334,25.8143,-80.0905,OFFR0,CPDP,0,0,0
DRM,SEFCRI,2015,Broward-Miami,5335,26.0097,-80.0878,OFFR1,LIRO,0,1,1
DRM,SEFCRI,2015,Broward-Miami,5563,26.1921,-80.0925,NEAR0,RGSH,0,1,0
DRM,SEFCRI,2015,Broward-Miami,5565,26.1696,-80.0935,NEAR0,RGSH,0,0,1
DRM,SEFCRI,2015,Broward-Miami,5567,26.1370,-80.0944,NEAR0,CPSH,0,1,1
DRM,SEFCRI,2015,Broward-Miami,5569,26.1149,-80.0956,NEAR0,CPSH,0,0,1
DRM,SEFCRI,2015,Broward-Miami,5573,26.0062,-80.1127,NEAR0,CPSH,0,0,1
DRM,SEFCRI,2015,Broward-Miami,5577,25.8929,-80.1043,NEAR0,RGSH,0,0,1
DRM,SEFCRI,2015,Broward-Miami,5585,26.2318,-80.0822,NEAR1,RGSH,0,0,0
DRM,SEFCRI,2015,Broward-Miami,5586,26.1758,-80.0873,INNR0,LIRI,0,0,1
DRM,SEFCRI,2015,Broward-Miami,5587,26.2155,-80.0808,INNR0,LIRI,0,0,1
DRM,SEFCRI,2015,Broward-Miami,5590,26.0815,-80.0978,INNR0,LIRI,0,0,1
DRM,SEFCRI,2015,Broward-Miami,5592,26.1379,-80.0934,INNR1,LIRI,0,0,1
DRM,SEFCRI,2015,Broward-Miami,5598,26.1627,-80.0822,MIDR0,LIRM,0,1,1
DRM,SEFCRI,2015,Broward-Miami,5600,26.0252,-80.0956,MIDR0,LIRM,0,1,1
DRM,SEFCRI,2015,Broward-Miami,5601,25.9790,-80.0961,MIDR0,LIRM,0,0,1
DRM,SEFCRI,2015,Broward-Miami,5602,25.9149,-80.0936,MIDR0,LIRM,0,0,1
DRM,SEFCRI,2015,Broward-Miami,5605,26.2191,-80.0768,MIDR1,LIRM,0,0,1
DRM,SEFCRI,2015,Broward-Miami,5607,26.0260,-80.0943,MIDR1,LIRM,0,1,1
DRM,SEFCRI,2015,Broward-Miami,5609,26.0291,-80.0883,OFFR1,LIRO,0,0,1
DRM,SEFCRI,2015,Broward-Miami,5820,25.8093,-80.1099,NEAR0,RGSH,0,0,1
DRM,SEFCRI,2015,Broward-Miami,5821,25.8039,-80.1050,NEAR0,RGSH,0,0,0
