REGION,SURVEY,YEAR,SUB_REGION_NAME,PRIMARY_SAMPLE_UNIT,LAT_DEGREES,LON_DEGREES,STRAT,PROT,avsitemort,MORT_TYPE
FLK,DRM,2005,Biscayne,69,25.42251,-80.12545,FSLR,1,25.357142857142858,Old
FLK,DRM,2005,Biscayne,70,25.40215,-80.13223,HRRF,1,2.442241379310344,Old
FLK,DRM,2005,Biscayne,71,25.57718,-80.10141,FMLR,0,13.75,Old
FLK,DRM,2005,Biscayne,72,25.67808,-80.08978,FMLR,0,15.5,Old
FLK,DRM,2005,Biscayne,73,25.3883,-80.13338,FMLR,1,18.06666666666667,Old
FLK,DRM,2005,Biscayne,74,25.5395,-80.09573,FDLR,0,17.307692307692307,Old
FLK,DRM,2005,Biscayne,75,25.5791,-80.09177,FMLR,0,5.428571428571428,Old
FLK,DRM,2005,Biscayne,76,25.37572,-80.13933,FMLR,1,5.363247863247864,Old
FLK,DRM,2005,Biscayne,77,25.60428,-80.09375,FMLR,0,22.996031746031747,Old
FLK,DRM,2005,Biscayne,80,25.41002,-80.15696,MCPR,1,20.833333333333336,Old
FLK,DRM,2005,Biscayne,93,25.45795,-80.13125,FMLR,0,8.671875,Old
FLK,DRM,2005,Biscayne,94,25.70033,-80.09688,FMLR,0,5.530769230769231,Old
FLK,DRM,2005,Biscayne,95,25.6749,-80.09842,OFPR,0,5.391666666666666,Old
FLK,DRM,2005,Biscayne,96,25.39873,-80.16097,MCPR,1,18.92156862745098,Old
FLK,DRM,2005,Lower Keys,21,24.52118,-81.52065,HRRF,0,20.555555555555557,Old
FLK,DRM,2005,Lower Keys,22,24.50073,-81.63187,FSLR,0,6.25,Old
FLK,DRM,2005,Lower Keys,23,24.445,-81.92278,FMLR,0,5.625,Old
FLK,DRM,2005,Lower Keys,24,24.445,-81.92278,FMLR,0,6.3392857142857135,Old
FLK,DRM,2005,Lower Keys,25,24.4524,-81.88335,FMLR,0,16.208333333333336,Old
FLK,DRM,2005,Lower Keys,26,24.55008,-81.44027,FMLR,0,14.706937799043061,Old
FLK,DRM,2005,Lower Keys,27,24.51448,-81.608,FMLR,0,11.734234234234236,Old
FLK,DRM,2005,Lower Keys,28,24.55497,-81.43548,FSLR,0,15.298229263746505,Old
FLK,DRM,2005,Lower Keys,29,24.51383,-81.61865,FSLR,0,6.15,Old
FLK,DRM,2005,Lower Keys,30,24.56217,-81.34035,FMLR,0,21.517857142857142,Old
FLK,DRM,2005,Lower Keys,31,24.4381,-81.90307,FMLR,0,22.5,Old
FLK,DRM,2005,Lower Keys,32,24.55677,-81.35027,FMLR,0,13,Old
FLK,DRM,2005,Lower Keys,33,24.53557,-81.45708,FMLR,0,13.765625,Old
FLK,DRM,2005,Lower Keys,34,24.53158,-81.47908,FMLR,0,28.316239316239315,Old
FLK,DRM,2005,Lower Keys,35,24.54778,-81.42558,FMLR,0,23.443223443223445,Old
FLK,DRM,2005,Lower Keys,36,24.4472,-81.90302,FMLR,0,5.021008403361345,Old
FLK,DRM,2005,Lower Keys,38,24.50497,-81.72063,MCPR,1,10.836187214611872,Old
FLK,DRM,2005,Lower Keys,39,24.47735,-81.89345,OFPR,0,6.611111111111111,Old
FLK,DRM,2005,Lower Keys,40,24.47772,-81.9567,MCPR,0,11.556064073226544,Old
FLK,DRM,2005,Lower Keys,41,24.61977,-81.37008,INPR,0,25.294117647058822,Old
FLK,DRM,2005,Lower Keys,42,24.4579,-81.89518,OFPR,0,9.712732919254659,Old
FLK,DRM,2005,Lower Keys,43,24.45968,-81.90737,OFPR,0,9.212955193824467,Old
FLK,DRM,2005,Lower Keys,86,24.5477,-81.58642,MCPR,0,8.583333333333332,Old
FLK,DRM,2005,Lower Keys,87,24.47907,-81.71678,HRRF,1,18.93939393939394,Old
FLK,DRM,2005,Mid-Upper Keys Transition,44,24.85103,-80.61818,FSLR,1,30,Old
FLK,DRM,2005,Mid-Upper Keys Transition,45,24.82313,-80.6568,FMLR,0,25.416666666666664,Old
FLK,DRM,2005,Mid-Upper Keys Transition,46,24.91667,-80.54547,OFPR,0,0,Old
FLK,DRM,2005,Mid-Upper Keys Transition,47,24.89873,-80.54983,FMLR,0,28.333333333333332,Old
FLK,DRM,2005,Mid-Upper Keys Transition,54,24.90612,-80.61325,MCPR,0,0,Old
FLK,DRM,2005,Middle Keys,48,24.65213,-81.01872,FMLR,0,4.714285714285714,Old
FLK,DRM,2005,Middle Keys,49,24.61797,-81.18973,FMLR,0,8.922697368421053,Old
FLK,DRM,2005,Middle Keys,50,24.63073,-81.08458,FMLR,0,10.069444444444446,Old
FLK,DRM,2005,Middle Keys,51,24.63025,-81.08347,FMLR,0,7.934027777777778,Old
FLK,DRM,2005,Middle Keys,52,24.64875,-81.03075,FMLR,0,7.147058823529411,Old
FLK,DRM,2005,Middle Keys,53,24.62517,-81.23531,MCPR,0,10.389676113360323,Old
FLK,DRM,2005,Middle Keys,84,24.68977,-81.03042,MCPR,0,13.459821428571429,Old
FLK,DRM,2005,Middle Keys,85,24.62287,-81.11102,FMLR,1,18.352941176470587,Old
FLK,DRM,2005,Upper Keys,56,25.20472,-80.22257,HRRF,1,20,Old
FLK,DRM,2005,Upper Keys,57,24.99062,-80.41102,HRRF,0,9.358974358974358,Old
FLK,DRM,2005,Upper Keys,58,24.9859,-80.41523,HRRF,0,0,Old
FLK,DRM,2005,Upper Keys,59,25.13273,-80.262200000000007,FMLR,0,48.91258741258741,Old
FLK,DRM,2005,Upper Keys,60,25.00493,-80.38707,FMLR,0,18.872727272727275,Old
FLK,DRM,2005,Upper Keys,61,25.00513,-80.38722,FMLR,0,8.5,Old
FLK,DRM,2005,Upper Keys,62,25.03553,-80.40292,MCPR,0,31.53304597701149,Old
FLK,DRM,2005,Upper Keys,63,25.10933,-80.33752,MCPR,0,23.841698841698843,Old
FLK,DRM,2005,Upper Keys,64,25.00853,-80.44652,OFPR,0,33.895833333333336,Old
FLK,DRM,2005,Upper Keys,65,25.0337,-80.38048,OFPR,0,26.1125,Old
FLK,DRM,2005,Upper Keys,67,25.00808,-80.42382,OFPR,0,42.73097826086956,Old
FLK,DRM,2005,Upper Keys,68,25.053,-80.3624,OFPR,0,6.068181818181818,Old
FLK,DRM,2006,Biscayne,109,25.42228,-80.12587,FSLR,1,8.903186274509803,Old
FLK,DRM,2006,Biscayne,110,25.6959,-80.09738,FMLR,0,3.9484126984126986,Old
FLK,DRM,2006,Biscayne,111,25.6784,-80.09123,FMLR,0,4.928571428571428,Old
FLK,DRM,2006,Biscayne,112,25.37523,-80.13918,HRRF,1,13.045454545454545,Old
FLK,DRM,2006,Biscayne,113,25.58217,-80.09587,FMLR,0,12.894736842105264,Old
FLK,DRM,2006,Biscayne,114,25.69563,-80.09008,FMLR,0,13.545454545454547,Old
FLK,DRM,2006,Biscayne,115,25.42167,-80.1538,MCPR,1,5.25,Old
FLK,DRM,2006,Biscayne,116,25.49008,-80.12655,MCPR,0,10.451127819548871,Old
FLK,DRM,2006,Biscayne,139,25.55923,-80.10562,FSLR,0,3.75,Old
FLK,DRM,2006,Biscayne,140,25.45613,-80.17183,INPR,0,8.271875,Old
FLK,DRM,2006,Biscayne,141,25.38637,-80.16273,MCPR,1,12.670454545454545,Old
FLK,DRM,2006,Biscayne,142,25.43395,-80.19285,INPR,0,7.5,Old
FLK,DRM,2006,Biscayne,143,25.45903,-80.13018,FSLR,0,2.775,Old
FLK,DRM,2006,Biscayne,146,25.46398,-80.16918,INPR,0,9.560504201680672,Old
FLK,DRM,2006,Biscayne,147,25.4052,-80.1691,MCPR,1,12.879807692307692,Old
FLK,DRM,2006,Biscayne,189,25.31992,-80.20672,MCPR,0,12.218379446640316,Old
FLK,DRM,2006,Biscayne,190,25.31991,-80.20671,MCPR,0,20.342592592592595,Old
FLK,DRM,2006,Biscayne,191,25.3091,-80.21265,MCPR,0,12.425595238095237,Old
FLK,DRM,2006,Biscayne,201,25.50047,-80.10258,FMLR,0,15.035714285714286,Old
FLK,DRM,2006,Biscayne,202,25.6207,-80.09583,FMLR,0,6.085714285714285,Old
FLK,DRM,2006,Biscayne,203,25.48778,-80.10897,FMLR,0,12,Old
FLK,DRM,2006,Biscayne,204,25.44597,-80.11977,FMLR,1,22.857142857142854,Old
FLK,DRM,2006,Biscayne,205,25.64338,-80.09713,FMLR,0,22.9,Old
FLK,DRM,2006,Biscayne,206,25.46917,-80.12167,FMLR,0,6.071428571428571,Old
FLK,DRM,2006,Biscayne,207,25.57425,-80.11347,FSLR,0,17.416666666666664,Old
FLK,DRM,2006,Biscayne,208,25.49815,-80.12298,FSLR,0,20.403846153846153,Old
FLK,DRM,2006,Biscayne,209,25.4027,-80.1314,HRRF,1,19.61489898989899,Old
FLK,DRM,2006,Biscayne,210,25.36312,-80.1413,HRRF,1,39.58333333333333,Old
FLK,DRM,2006,Biscayne,211,25.58752,-80.11298,OFPR,0,9.833333333333332,Old
FLK,DRM,2006,Biscayne,214,25.3937,-80.16113,MCPR,1,28.393874643874643,Old
FLK,DRM,2006,Biscayne,215,25.3901,-80.14923,MCPR,1,31.6875,Old
FLK,DRM,2006,Biscayne,216,25.3667,-80.1869,MCPR,1,32.42424242424242,Old
FLK,DRM,2006,Biscayne,217,25.34692,-80.1869,MCPR,0,33.057291666666664,Old
FLK,DRM,2006,Biscayne,219,25.4135,-80.19283,INPR,0,10.174285714285714,Old
FLK,DRM,2006,Biscayne,243,25.5429,-80.10213,FMLR,0,12.420634920634921,Old
FLK,DRM,2006,Biscayne,244,25.70158,-80.102,INPR,0,9.163602941176471,Old
FLK,DRM,2006,Biscayne,245,25.59172,-80.10592,FSLR,0,18.055944055944053,Old
FLK,DRM,2006,Biscayne,246,25.4225,-80.12767,FMLR,1,17.301136363636363,Old
FLK,DRM,2006,Biscayne,247,25.32892,-80.17302,OFPR,0,15.5,Old
FLK,DRM,2006,Biscayne,248,25.46097,-80.14237,MCPR,0,15.180555555555555,Old
FLK,DRM,2006,Biscayne,249,25.4045,-80.16508,MCPR,1,21.451612903225808,Old
FLK,DRM,2006,Lower Keys,106,24.45233,-81.8834,FMLR,0,31.083333333333336,Old
FLK,DRM,2006,Lower Keys,107,24.51365,-81.61948,FSLR,0,15,Old
FLK,DRM,2006,Lower Keys,108,24.50458,-81.72088,MCPR,1,15.15527950310559,Old
FLK,DRM,2006,Lower Keys,122,24.50998,-81.5643,FMLR,0,17.404761904761905,Old
FLK,DRM,2006,Lower Keys,123,24.49198,-81.65927,HRRF,1,19.166666666666664,Old
FLK,DRM,2006,Lower Keys,124,24.49378,-81.65943,HRRF,1,7.5,Old
FLK,DRM,2006,Lower Keys,125,24.47757,-81.83192,FSLR,0,26.25,Old
FLK,DRM,2006,Lower Keys,126,24.45955,-81.85565,FMLR,0,14.404761904761905,Old
FLK,DRM,2006,Lower Keys,127,24.4574,-81.9131,FMLR,0,10.625,Old
FLK,DRM,2006,Lower Keys,128,24.52628,-81.56632,FMLR,0,6.790540540540541,Old
FLK,DRM,2006,Lower Keys,129,24.4756,-81.83387,FSLR,0,60,Old
FLK,DRM,2006,Lower Keys,130,24.51178,-81.56035,FMLR,0,14.4125,Old
FLK,DRM,2006,Lower Keys,131,24.51177,-81.56035,FMLR,0,17.538461538461537,Old
FLK,DRM,2006,Lower Keys,132,24.49918,-81.63367,FSLR,0,2.5,Old
FLK,DRM,2006,Lower Keys,133,24.49198,-81.65152,FMLR,0,14.315569487983279,Old
FLK,DRM,2006,Lower Keys,134,24.43803,-81.89337,FMLR,0,8.055555555555555,Old
FLK,DRM,2006,Lower Keys,135,24.44515,-81.94287,FMLR,0,16.428571428571427,Old
FLK,DRM,2006,Lower Keys,136,24.48837,-81.88337,MCPR,0,12.06959706959707,Old
FLK,DRM,2006,Lower Keys,138,24.56397,-81.66142,INPR,0,20,Old
FLK,DRM,2006,Lower Keys,144,24.5474,-81.58662,MCPR,0,5.195590327169274,Old
FLK,DRM,2006,Lower Keys,145,24.58582,-81.58262,INPR,0,13.288690476190476,Old
FLK,DRM,2006,Lower Keys,161,24.51745,-82.00062,INPR,0,2.5,Old
FLK,DRM,2006,Lower Keys,162,24.54997,-81.70303,INPR,1,0,Old
FLK,DRM,2006,Lower Keys,163,24.47737,-81.95412,MCPR,0,13.194444444444446,Old
FLK,DRM,2006,Lower Keys,164,24.4802,-81.93285,MCPR,0,16.15422077922078,Old
FLK,DRM,2006,Lower Keys,165,24.52383,-81.6381,MCPR,0,13.794637017658598,Old
FLK,DRM,2006,Lower Keys,166,24.52658,-81.67382,MCPR,0,10.889329805996473,Old
FLK,DRM,2006,Lower Keys,167,24.53465,-81.60453,MCPR,0,13.083333333333334,Old
FLK,DRM,2006,Lower Keys,168,24.57863,-81.43753,MCPR,0,19.30853927085882,Old
FLK,DRM,2006,Lower Keys,169,24.58193,-81.44148,MCPR,0,12.892290249433106,Old
FLK,DRM,2006,Lower Keys,170,24.44848,-81.95035,OFPR,0,13.143939393939394,Old
FLK,DRM,2006,Lower Keys,171,24.50228,-81.65952,OFPR,0,11.269230769230768,Old
FLK,DRM,2006,Lower Keys,172,24.52073,-81.52478,FMLR,0,17.5,Old
FLK,DRM,2006,Lower Keys,173,24.54643,-81.4019,HRRF,1,7.798611111111112,Old
FLK,DRM,2006,Lower Keys,174,24.45588,-81.91322,FMLR,0,13.674107142857144,Old
FLK,DRM,2006,Lower Keys,177,24.51487,-81.55465,FMLR,0,4.288194444444445,Old
FLK,DRM,2006,Lower Keys,179,24.46678,-81.8061,FMLR,0,18.444160997732425,Old
FLK,DRM,2006,Lower Keys,261,24.5334,-81.87137,INPR,0,12,Old
FLK,DRM,2006,Lower Keys,262,24.53697,-81.43748,FMLR,0,17.40909090909091,Old
FLK,DRM,2006,Lower Keys,269,24.56305,-81.40093,OFPR,0,14.300824175824175,Old
FLK,DRM,2006,Lower Keys,270,24.55302,-81.3794,FSLR,0,15.020833333333332,Old
FLK,DRM,2006,Mid-Upper Keys Transition,150,24.96892,-80.53937,INPR,0,47.5,Old
FLK,DRM,2006,Mid-Upper Keys Transition,151,24.95453,-80.5044,MCPR,0,28.888888888888886,Old
FLK,DRM,2006,Mid-Upper Keys Transition,153,24.84655,-80.62291,FMLR,1,6.25,Old
FLK,DRM,2006,Mid-Upper Keys Transition,154,24.92162,-80.52222,FSLR,0,60,Old
FLK,DRM,2006,Mid-Upper Keys Transition,156,24.84295,-80.63084,FMLR,0,15,Old
FLK,DRM,2006,Mid-Upper Keys Transition,157,24.89515,-80.55553,FMLR,0,4.791666666666667,Old
FLK,DRM,2006,Mid-Upper Keys Transition,242,24.90415,-80.61697,MCPR,1,11.775975975975975,Old
FLK,DRM,2006,Middle Keys,152,24.62692,-81.10853,HRRF,1,11.666666666666666,Old
FLK,DRM,2006,Middle Keys,155,24.60157,-81.21333,FMLR,0,4,Old
FLK,DRM,2006,Middle Keys,158,24.62347,-81.1065,FMLR,1,11.023809523809522,Old
FLK,DRM,2006,Middle Keys,159,24.67197,-80.9638,FMLR,0,0,Old
FLK,DRM,2006,Middle Keys,160,24.5945,-81.21145,FMLR,0,16.666666666666664,Old
FLK,DRM,2006,Middle Keys,175,24.57658,-81.30465,FMLR,0,12.133333333333333,Old
FLK,DRM,2006,Middle Keys,176,24.59062,-81.24738,FMLR,0,9.204545454545455,Old
FLK,DRM,2006,Middle Keys,178,24.56937,-81.31458,FMLR,0,10.133928571428573,Old
FLK,DRM,2006,Middle Keys,260,24.69765,-80.95787,OFPR,0,7.335805084745763,Old
FLK,DRM,2006,Upper Keys,148,25.21367,-80.2107,FMLR,1,8.41826923076923,Old
FLK,DRM,2006,Upper Keys,180,25.10413,-80.30962,HRRF,0,15.323529411764707,Old
FLK,DRM,2006,Upper Keys,181,25.24198,-80.22425,FSLR,0,10.833333333333332,Old
FLK,DRM,2006,Upper Keys,182,25.22452,-80.21417,FSLR,1,15,Old
FLK,DRM,2006,Upper Keys,183,25.0827,-80.32335,FSLR,0,15,Old
FLK,DRM,2006,Upper Keys,184,25.22967,-80.20642,HRRF,1,11.5,Old
FLK,DRM,2006,Upper Keys,185,25.1453,-80.25437,HRRF,0,14.2,Old
FLK,DRM,2006,Upper Keys,186,25.24445,-80.2133,OFPR,0,7.856359649122807,Old
FLK,DRM,2006,Upper Keys,187,25.11842,-80.30183,OFPR,0,11.5080971659919,Old
FLK,DRM,2006,Upper Keys,188,25.003,-80.43767,OFPR,0,19.960317460317462,Old
FLK,DRM,2006,Upper Keys,192,25.29117,-80.2126,OFPR,0,19.742972972972975,Old
FLK,DRM,2006,Upper Keys,193,25.28768,-80.22318,MCPR,0,10.333850931677016,Old
FLK,DRM,2006,Upper Keys,194,25.27705,-80.22657,MCPR,0,22.642857142857146,Old
FLK,DRM,2006,Upper Keys,195,25.07315,-80.37843,MCPR,0,20.762605042016805,Old
FLK,DRM,2006,Upper Keys,196,25.07333,-80.37914,MCPR,0,30.44871794871795,Old
FLK,DRM,2006,Upper Keys,197,25.06247,-80.39487,MCPR,0,12.00842105263158,Old
FLK,DRM,2006,Upper Keys,198,25.06253,-80.39499,MCPR,0,11.670454545454545,Old
FLK,DRM,2006,Upper Keys,199,25.06015,-80.387,MCPR,0,12.678571428571427,Old
FLK,DRM,2006,Upper Keys,228,25.11115,-80.284,FMLR,0,4.6875,Old
FLK,DRM,2006,Upper Keys,272,25.11163,-80.34218,MCPR,0,33.440972222222214,Old
FLK,DRM,2007,Biscayne,336,25.44006,-80.18971,INPR,0,9.196969696969695,Old
FLK,DRM,2007,Biscayne,338,25.34151,-80.18887,MCPR,0,28.57446808510638,Old
FLK,DRM,2007,Biscayne,339,25.36198,-80.18458,MCPR,1,17.42965367965368,Old
FLK,DRM,2007,Biscayne,340,25.38488,-80.16108,MCPR,1,23.173076923076923,Old
FLK,DRM,2007,Biscayne,343,25.4531,-80.15122,MCPR,0,18.24021164021164,Old
FLK,DRM,2007,Biscayne,344,25.4909,-80.14725,MCPR,0,11.07692307692308,Old
