REGION,YEAR,avMort,Var,SE,CV_perc,n_sites,n_strat,ngrtot,MORT_TYPE
FLK,1999,2.9468331015439406,0.21563714548177335,0.4643674681561719,15.758186913024524,160,8,42150,Recent
FLK,2000,1.1527822295168748,0.01937024716891742,0.1391770353503674,12.073141985255601,68,11,58546,Recent
FLK,2001,0.8406166641026547,0.016769173587669634,0.12949584390114469,15.40486281453622,120,10,58538,Recent
FLK,2002,3.2481825634916692,0.6234475735893799,0.7895869639180854,24.30857713457184,38,7,53147,Recent
FLK,2005,0.7696952634999503,0.013913816321184908,0.11795684092575939,15.325135351539942,258,12,67765,Recent
FLK,2006,0.5868516005612595,0.011523454459313966,0.10734735422596109,18.292078290882234,118,11,58695,Recent
FLK,2007,0.63598336792815,0.0443891257577636,0.21068727004203078,33.12779557874116,88,12,59026,Recent
FLK,2008,0.4142909725323906,0.005877658579961221,0.07666588928566094,18.505324607252202,135,11,58885,Recent
FLK,2009,0.2981672530089526,0.0012670013188568784,0.03559496198701269,11.937917939614897,314,12,59026,Recent
FLK,2010,2.162043372198973,0.2859948758053046,0.5347848874129715,24.735160001394974,185,13,67906,Recent
FLK,2011,0.7800791991430961,0.07204645833576144,0.2684147133369582,34.40864897202839,177,11,58546,Recent
FLK,2012,0.2701776403847716,0.002744590716246261,0.05238884152418586,19.39051708704564,150,12,59026,Recent
FLK,2013,0.2931899759506276,0.010328196765638065,0.10162773620246622,34.662759486559,76,11,57937,Recent
SEFCRI,2005,0.758752108345205,0.07057108996394201,0.26565219736328555,35.011724440892536,30,7,14166,Recent
SEFCRI,2006,1.3376146153431845,0.12386529154095163,0.3519450120984124,26.3113910435343,45,8,15199,Recent
SEFCRI,2007,1.8786725473360664,0.39016822430414094,0.6246344725550623,33.24871454798155,34,8,15199,Recent
SEFCRI,2008,2.4678346703599905,1.1329849763442637,1.064417670063901,43.13164422431229,63,8,15199,Recent
SEFCRI,2009,0.9442787012463574,0.08799473139029715,0.2966390591110637,31.414354545911984,65,8,15199,Recent
SEFCRI,2010,0.63865420651053,0.01867333589644308,0.1366504149150052,21.39662019320813,82,8,15199,Recent
SEFCRI,2011,0.7200842011647184,0.026962944117738585,0.1642039710778597,22.803440321599034,43,9,22817,Recent
SEFCRI,2012,1.2775551066245239,0.18138966580546786,0.42589865673123206,33.33700867561908,41,8,21951,Recent
SEFCRI,2013,2.217895129205182,1.6750420272318065,1.2942341469887921,58.354163366263464,12,6,13488,Recent
Tortugas,1999,5.291788948269495,0.3442005580271948,0.5866860813307188,11.086724868771931,20,9,19623,Recent
Tortugas,2000,1.2828223600880293,0.060173066543003195,0.2453019904994723,19.122054473905433,30,13,29474,Recent
Tortugas,2002,1.7198567866184797,0.017952971793667113,0.13398870024620402,7.790689392786463,22,10,24751,Recent
Tortugas,2006,1.2699309362752418,0.05664284054838497,0.23799756416481443,18.740984833621805,82,11,24004,Recent
Tortugas,2007,0.41386732514568225,0.011852485103096043,0.10886911914356634,26.305318764955448,13,6,15624,Recent
Tortugas,2009,0.5087663024558577,0.017672341962598075,0.13293736104872128,26.129356525190733,35,8,17678,Recent
Tortugas,2011,0,1.7737891698888455e-9,4.2116376504737985e-5,Inf,5,3,12717,Recent
Tortugas,2012,0.6202285674596758,0.04741987847587831,0.21776105821720812,35.1098078421494,41,8,17678,Recent
