SURVEY,YEAR,SUB_REGION_NAME,PRIMARY_SAMPLE_UNIT,LAT_DEGREES,LON_DEGREES,STRAT,PROT,avsitemort,MORT_TYPE
DRM,2005,Biscayne,69,25.42251,-80.12545,FSLR,1,0,Recent
DRM,2005,Biscayne,70,25.40215,-80.13223,HRRF,1,0,Recent
DRM,2005,Biscayne,71,25.57718,-80.10141,FMLR,0,0,Recent
DRM,2005,Biscayne,72,25.67808,-80.08978,FMLR,0,0.5,Recent
DRM,2005,Biscayne,73,25.3883,-80.13338,FMLR,1,6.666666666666667,Recent
DRM,2005,Biscayne,74,25.5395,-80.09573,FDLR,0,0,Recent
DRM,2005,Biscayne,75,25.5791,-80.09177,FMLR,0,0,Recent
DRM,2005,Biscayne,76,25.37572,-80.13933,FMLR,1,0,Recent
DRM,2005,Biscayne,77,25.60428,-80.09375,FMLR,0,0,Recent
DRM,2005,Biscayne,80,25.41002,-80.15696,MCPR,1,3.3333333333333335,Recent
DRM,2005,Biscayne,93,25.45795,-80.13125,FMLR,0,0,Recent
DRM,2005,Biscayne,94,25.70033,-80.09688,FMLR,0,0,Recent
DRM,2005,Biscayne,95,25.6749,-80.09842,OFPR,0,0,Recent
DRM,2005,Biscayne,96,25.39873,-80.16097,MCPR,1,0.17647058823529413,Recent
DRM,2005,Broward-Miami,1,25.79959,-80.09557,INNR0,0,0.8888888888888888,Recent
DRM,2005,Broward-Miami,10,26.01437,-80.10204,INNR1,0,0.670138888888889,Recent
DRM,2005,Broward-Miami,11,25.9983,-80.10176,INNR1,0,1.04,Recent
DRM,2005,Broward-Miami,12,25.9422,-80.10057,INNR1,0,0.375,Recent
DRM,2005,Broward-Miami,13,26.19257,-80.09127,NEAR0,0,1.25,Recent
DRM,2005,Broward-Miami,14,25.88658,-80.11052,NEAR0,0,0,Recent
DRM,2005,Broward-Miami,15,25.86248,-80.08737,OFFR1,0,0,Recent
DRM,2005,Broward-Miami,16,25.7778,-80.09034,OFFR1,0,3.5,Recent
DRM,2005,Broward-Miami,17,25.96983,-80.08967,OFFR1,0,0,Recent
DRM,2005,Broward-Miami,18,25.90217,-80.08797,OFFR1,0,0,Recent
DRM,2005,Broward-Miami,2,25.79785,-80.09763,INNR0,0,0.28571428571428575,Recent
DRM,2005,Broward-Miami,20,25.84086,-80.08813,OFFR1,0,0.375,Recent
DRM,2005,Broward-Miami,5,26.20315,-80.07788,MIDR1,0,1.9927536231884058,Recent
DRM,2005,Broward-Miami,7,25.96607,-80.11376,NEAR0,0,0,Recent
DRM,2005,Broward-Miami,78,25.8247,-80.09069,MIDR1,0,1.375,Recent
DRM,2005,Broward-Miami,8,25.97474,-80.10535,NEAR0,0,0,Recent
DRM,2005,Broward-Miami,81,25.8422,-80.104,INNR0,0,0,Recent
DRM,2005,Broward-Miami,82,25.8422,-80.0881,OFFR1,0,0,Recent
DRM,2005,Broward-Miami,9,25.98561,-80.10505,NEAR0,0,2.894736842105263,Recent
DRM,2005,Broward-Miami,91,26.15988,-80.08282,MIDR0,0,6.666666666666666,Recent
DRM,2005,Broward-Miami,92,26.1587,-80.07822,OFFR1,0,0,Recent
DRM,2005,Broward-Miami,97,26.14793,-80.09607,NEAR1,0,0,Recent
DRM,2005,Deerfield,19,26.30927,-80.05958,OFFR1,0,0,Recent
DRM,2005,Deerfield,3,26.30548,-80.0677,MIDR0,0,0.5253623188405796,Recent
DRM,2005,Deerfield,4,26.28582,-80.06992,MIDR0,0,0.4545454545454546,Recent
DRM,2005,Lower Keys,21,24.52118,-81.52065,HRRF,0,1.1111111111111112,Recent
DRM,2005,Lower Keys,22,24.50073,-81.63187,FSLR,0,0,Recent
DRM,2005,Lower Keys,23,24.445,-81.92278,FMLR,0,0,Recent
DRM,2005,Lower Keys,24,24.445,-81.92278,FMLR,0,0.35714285714285715,Recent
DRM,2005,Lower Keys,25,24.4524,-81.88335,FMLR,0,0.16666666666666666,Recent
DRM,2005,Lower Keys,26,24.55008,-81.44027,FMLR,0,1.034688995215311,Recent
DRM,2005,Lower Keys,27,24.51448,-81.608,FMLR,0,0.5180180180180175,Recent
DRM,2005,Lower Keys,28,24.55497,-81.43548,FSLR,0,0,Recent
DRM,2005,Lower Keys,29,24.51383,-81.61865,FSLR,0,0,Recent
DRM,2005,Lower Keys,30,24.56217,-81.34035,FMLR,0,0.5,Recent
DRM,2005,Lower Keys,31,24.4381,-81.90307,FMLR,0,0.4166666666666667,Recent
DRM,2005,Lower Keys,32,24.55677,-81.35027,FMLR,0,0,Recent
DRM,2005,Lower Keys,33,24.53557,-81.45708,FMLR,0,0.378125,Recent
DRM,2005,Lower Keys,34,24.53158,-81.47908,FMLR,0,0.19230769230769226,Recent
DRM,2005,Lower Keys,35,24.54778,-81.42558,FMLR,0,0.17857142857142863,Recent
DRM,2005,Lower Keys,36,24.4472,-81.90302,FMLR,0,0.35714285714285715,Recent
