SURVEY,REGION,YEAR,SUB_REGION_NAME,PRIMARY_SAMPLE_UNIT,LAT_DEGREES,LON_DEGREES,STRAT,HABITAT_CD,PROT,SPECIES_CD,Total_dis,Total_ble,Total_col,DIS_PREV,BLE_PREV
NCRMP,SEFCRI,2016,Broward-Miami,3001,26.2033,-80.0867,NEAR0,RGSH,0,POR ASTR,0,1,3,0,33.3
NCRMP,SEFCRI,2016,Broward-Miami,3001,26.2033,-80.0867,NEAR0,RGSH,0,POR PORI,0,0,1,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3001,26.2033,-80.0867,NEAR0,RGSH,0,SID SIDE,0,1,1,0,100
NCRMP,SEFCRI,2016,Broward-Miami,3002,26.1882,-80.0886,NEAR0,RGSH,0,ACR CERV,5,0,14,35.7,0
NCRMP,SEFCRI,2016,Broward-Miami,3002,26.1882,-80.0886,NEAR0,RGSH,0,POR ASTR,0,0,9,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3002,26.1882,-80.0886,NEAR0,RGSH,0,POR PORI,0,0,5,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3004,26.1622,-80.0967,NEAR0,CPSH,0,AGA AGAR,0,1,1,0,100
NCRMP,SEFCRI,2016,Broward-Miami,3009,26.0847,-80.0998,NEAR0,CPSH,0,POR ASTR,0,0,5,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3009,26.0847,-80.0998,NEAR0,CPSH,0,STE INTE,0,0,1,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3016,26.0015,-80.1119,NEAR0,CPSH,0,SOL BOUR,0,0,1,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3021,25.9260,-80.1054,NEAR0,RGSH,0,SOL BOUR,0,1,1,0,100
NCRMP,SEFCRI,2016,Broward-Miami,3030,25.8721,-80.1119,NEAR0,RGSH,0,ACR CERV,0,0,1,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3030,25.8721,-80.1119,NEAR0,RGSH,0,SID SIDE,0,1,1,0,100
