"REGION","YEAR","ANALYSIS_STRATUM","STRAT","RUG_CD","PROT","NTOT","n","avspr","Var","SE"
"SEFCRI",2014,"MIDR0 / PROT = 0","MIDR0",NA,NA,1294,30,4.3,0.13367816091954,0.365620241397465
"SEFCRI",2014,"MIDR1 / PROT = 0","MIDR1",NA,NA,866,19,5.8421052631579,0.0804863034779932,0.283701081206951
"SEFCRI",2016,"DPRC0 / PROT = 0","DPRC0",NA,NA,7618,18,1.94444444444444,0.0684458968772694,0.261621667446084
"SEFCRI",2016,"DPRC1 / PROT = 0","DPRC1",NA,NA,1045,6,3.16666666666667,0.761111111111111,0.872416821886827
"SEFCRI",2016,"INNR0 / PROT = 0","INNR0",NA,NA,845,7,2.85714285714286,0.353741496598639,0.594761714133181
"SEFCRI",2016,"INNR1 / PROT = 0","INNR1",NA,NA,1092,5,4.6,0.16,0.4
"SEFCRI",2016,"MIDR0 / PROT = 0","MIDR0",NA,NA,1294,8,4.875,0.265625,0.515388203202208
"SEFCRI",2016,"MIDR1 / PROT = 0","MIDR1",NA,NA,866,5,3.2,0.64,0.8
"SEFCRI",2016,"NEAR0 / PROT = 0","NEAR0",NA,NA,6272,18,2.27777777777778,0.044480755265069,0.210904611768138
"SEFCRI",2016,"NEAR1 / PROT = 0","NEAR1",NA,NA,1122,2,4,1,1
"SEFCRI",2016,"OFFR0 / PROT = 0","OFFR0",NA,NA,1238,4,3.25,2.5625,1.60078105935821
"SEFCRI",2016,"OFFR1 / PROT = 0","OFFR1",NA,NA,3951,23,4.26086956521739,0.155009451795841,0.393712397310322
"SEFCRI",2018,"DPRC0 / PROT = 0","DPRC0",NA,NA,7618,13,2.30769230769231,0.184418145956607,0.429439339088313
"SEFCRI",2018,"DPRC1 / PROT = 0","DPRC1",NA,NA,1045,7,3.42857142857143,0.755102040816326,0.868966075756888
"SEFCRI",2018,"INNR0 / PROT = 0","INNR0",NA,NA,845,4,4.75,0.395833333333333,0.629152869605896
"SEFCRI",2018,"INNR1 / PROT = 0","INNR1",NA,NA,1092,5,4.8,0.14,0.374165738677394
"SEFCRI",2018,"MIDR0 / PROT = 0","MIDR0",NA,NA,1294,4,4.5,0.75,0.866025403784439
"SEFCRI",2018,"MIDR1 / PROT = 0","MIDR1",NA,NA,866,4,5.5,0.416666666666667,0.645497224367903
"SEFCRI",2018,"NEAR0 / PROT = 0","NEAR0",NA,NA,6272,3,4,0.333333333333333,0.577350269189626
"SEFCRI",2018,"NEAR1 / PROT = 0","NEAR1",NA,NA,1122,7,4.28571428571429,0.510204081632653,0.714285714285714
"SEFCRI",2018,"OFFR0 / PROT = 0","OFFR0",NA,NA,1238,4,5,0.5,0.707106781186548
"SEFCRI",2018,"OFFR1 / PROT = 0","OFFR1",NA,NA,3951,21,4.42857142857143,0.107482993197279,0.327845990058257
"SEFCRI",2020,"DPRC0 / PROT = 0","DPRC0",NA,NA,30238,5,2.2,0.24,0.489897948556636
"SEFCRI",2020,"INNR0 / PROT = 0","INNR0",NA,NA,4085,7,5.42857142857143,0.27891156462585,0.528120786019496
"SEFCRI",2020,"INNR1 / PROT = 0","INNR1",NA,NA,2332,5,6,0.2,0.447213595499958
"SEFCRI",2020,"MIDR0 / PROT = 0","MIDR0",NA,NA,4677,6,4.66666666666667,0.644444444444444,0.802772971919486
"SEFCRI",2020,"MIDR1 / PROT = 0","MIDR1",NA,NA,1764,7,5.71428571428571,0.36734693877551,0.606091526731326
"SEFCRI",2020,"NEAR0 / PROT = 0","NEAR0",NA,NA,24765,24,3.5,0.11231884057971,0.335140031299918
"SEFCRI",2020,"NEAR1 / PROT = 0","NEAR1",NA,NA,1583,5,2,0.4,0.632455532033676
"SEFCRI",2020,"OFFR0 / PROT = 0","OFFR0",NA,NA,4884,4,6,0.833333333333333,0.912870929175277
"SEFCRI",2020,"OFFR1 / PROT = 0","OFFR1",NA,NA,8262,15,5.13333333333333,0.217777777777778,0.466666666666667
"SEFCRI",2020,"PTDP0 / PROT = 0","PTDP0",NA,NA,1607,1,2,NA,NA
"SEFCRI",2020,"PTDP1 / PROT = 0","PTDP1",NA,NA,2528,6,4.83333333333333,0.961111111111111,0.98036274465685
"SEFCRI",2020,"PTSH2 / PROT = 0","PTSH2",NA,NA,709,6,2.5,0.85,0.921954445729289
"SEFCRI",2022,"DPRC0 / PROT = 0","DPRC0",NA,NA,30238,8,1.625,0.0691964285714286,0.263052140404576
"SEFCRI",2022,"INNR0 / PROT = 0","INNR0",NA,NA,4085,3,5,0.333333333333333,0.577350269189626
"SEFCRI",2022,"INNR1 / PROT = 0","INNR1",NA,NA,2332,13,6.92307692307692,0.428994082840237,0.654976398689477
"SEFCRI",2022,"MIDR0 / PROT = 0","MIDR0",NA,NA,4677,5,5.6,1.06,1.0295630140987
"SEFCRI",2022,"MIDR1 / PROT = 0","MIDR1",NA,NA,1764,10,4.6,0.271111111111111,0.52068331172711
"SEFCRI",2022,"NEAR0 / PROT = 0","NEAR0",NA,NA,24765,21,3.71428571428571,0.157823129251701,0.397269592659318
"SEFCRI",2022,"NEAR1 / PROT = 0","NEAR1",NA,NA,1583,1,6,NA,NA
"SEFCRI",2022,"OFFR0 / PROT = 0","OFFR0",NA,NA,4884,4,2.5,0.416666666666667,0.645497224367903
"SEFCRI",2022,"OFFR1 / PROT = 0","OFFR1",NA,NA,8262,23,4.30434782608696,0.0807698917339749,0.284200442881384
"SEFCRI",2022,"PTDP0 / PROT = 0","PTDP0",NA,NA,1607,2,1.5,0.25,0.5
"SEFCRI",2022,"PTDP1 / PROT = 0","PTDP1",NA,NA,2528,9,4.33333333333333,0.194444444444444,0.440958551844098
"SEFCRI",2022,"PTSH2 / PROT = 0","PTSH2",NA,NA,709,3,2.33333333333333,0.777777777777778,0.881917103688197
"SEFCRI",2020,"DPRC1 / PROT = 0","DPRC1",NA,NA,1721,0,NA,NA,NA
"SEFCRI",2022,"DPRC1 / PROT = 0","DPRC1",NA,NA,1721,0,NA,NA,NA
