REGION,YEAR,ANALYSIS_STRATUM,STRAT,PROT,DEPTH_M,cover_group,n,avcvr,Var,SE,CV_perc
FLK,2014,FMLR / PROT = 0,FMLR,0,9.932125396457696,CCA,140,5.668957245503638,0.15909306061229217,0.39886471467440204,7.035945014239851
FLK,2014,FMLR / PROT = 0,FMLR,0,9.932125396457696,HARD CORALS,140,3.3330581217179156,0.07910250772993498,0.28125168040375326,8.438247103197567
FLK,2014,FMLR / PROT = 0,FMLR,0,9.932125396457696,MACROALGAE,140,25.021612293777245,1.4429359446587917,1.2012226873726586,4.800740548886999
FLK,2014,FMLR / PROT = 0,FMLR,0,9.932125396457696,OTHER,140,27.926085741291924,1.7787987932352505,1.3337161591715272,4.775879339221087
FLK,2014,FMLR / PROT = 0,FMLR,0,9.932125396457696,RAMICRUSTA SPP.,140,0,7.142857142857143e-11,8.451542547285165e-6,NA
FLK,2014,FMLR / PROT = 0,FMLR,0,9.932125396457696,SOFT CORALS,140,2.9744134445165376,0.054692988659388694,0.2338653216263341,7.862569410364761
FLK,2014,FMLR / PROT = 0,FMLR,0,9.932125396457696,SPONGES,140,7.017736730623328,0.14913393521087737,0.38617863121990237,5.502894252711604
FLK,2014,FMLR / PROT = 0,FMLR,0,9.932125396457696,TURF ALGAE,140,28.05813642256941,1.9018867411366602,1.379089098331453,4.915112955335625
FLK,2014,FSLR / PROT = 0,FSLR,0,4.264659863530883,CCA,90,8.57777777777778,0.5938146760993201,0.7705937166233061,8.983605504675847
FLK,2014,FSLR / PROT = 0,FSLR,0,4.264659863530883,HARD CORALS,90,3.0499999999999994,0.15206304619225972,0.3899526204454327,12.785331817883042
FLK,2014,FSLR / PROT = 0,FSLR,0,4.264659863530883,MACROALGAE,90,24,2.7476279650436957,1.6575970454376707,6.9066543559902955
FLK,2014,FSLR / PROT = 0,FSLR,0,4.264659863530883,OTHER,90,20.805555555555557,1.9609671937855457,1.400345383748433,6.730632018016499
FLK,2014,FSLR / PROT = 0,FSLR,0,4.264659863530883,RAMICRUSTA SPP.,90,0,1.1111111111111112e-10,1.0540925533894598e-5,NA
FLK,2014,FSLR / PROT = 0,FSLR,0,4.264659863530883,SOFT CORALS,90,2.288888888888889,0.06217089748924958,0.24934092622200948,10.89353561164119
FLK,2014,FSLR / PROT = 0,FSLR,0,4.264659863530883,SPONGES,90,3.3499999999999996,0.20976591760299637,0.45800209344826837,13.671704282037863
FLK,2014,FSLR / PROT = 0,FSLR,0,4.264659863530883,TURF ALGAE,90,37.92777777777778,3.534991330281592,1.88015726211442,4.9572038549962745
FLK,2014,HRRF / PROT = 0,HRRF,0,5.699759817607686,CCA,5,15.8,22.14,4.705316142407437,29.78048191397112
FLK,2014,HRRF / PROT = 0,HRRF,0,5.699759817607686,HARD CORALS,5,14,31.1,5.576737397439475,39.8338385531391
FLK,2014,HRRF / PROT = 0,HRRF,0,5.699759817607686,MACROALGAE,5,21,26.9,5.186520991955976,24.69771900931417
FLK,2014,HRRF / PROT = 0,HRRF,0,5.699759817607686,OTHER,5,19,33.8,5.813776741499453,30.59882495526028
FLK,2014,HRRF / PROT = 0,HRRF,0,5.699759817607686,RAMICRUSTA SPP.,5,0,2e-9,4.4721359549995795e-5,NA
