REGION,YEAR,ANALYSIS_STRATUM,STRAT,RUG_CD,PROT,NTOT,ngrtot,wh,n,avprev,svar,std
FLK,2005,FDLR / PROT = 0,FDLR,NA,0,8880,67434,0.13168431355102767,1,0,NA,NA
FLK,2005,FMLR / PROT = 0,FMLR,NA,0,26696,67434,0.39588338227007147,28,0.5392857142857143,2.1743253968253953,1.4745593907419923
FLK,2005,FMLR / PROT = 1,FMLR,NA,1,1089,67434,0.016149123587507787,3,0,1e-8,1e-4
FLK,2005,FSLR / PROT = 0,FSLR,NA,0,3384,67434,0.05018240056944568,3,0,1e-8,1e-4
FLK,2005,FSLR / PROT = 1,FSLR,NA,1,480,67434,0.007118071002758252,2,0,1e-8,1e-4
FLK,2005,HRRF / PROT = 0,HRRF,NA,0,1163,67434,0.017246492867099682,3,0,1e-8,1e-4
FLK,2005,HRRF / PROT = 1,HRRF,NA,1,594,67434,0.008808612865913338,3,2.2666666666666666,15.413333333333332,3.925981830489455
SEFCRI,2005,INNR0 / PROT = 0,INNR0,0,0,845,14166,0.05964986587604122,3,0,1e-8,1e-4
SEFCRI,2005,INNR1 / PROT = 0,INNR1,1,0,1092,14166,0.0770859805167302,3,2.6333333333333333,9.003333333333334,3.0005555041247503
FLK,2005,INPR / PROT = 0,INPR,NA,0,1543,67434,0.022881632410949967,1,0,NA,NA
FLK,2005,MCPR / PROT = 0,MCPR,NA,0,14845,67434,0.22014117507488803,7,0.19999999999999998,0.27999999999999997,0.529150262212918
FLK,2005,MCPR / PROT = 1,MCPR,NA,1,347,67434,0.005145772162410653,3,0,1e-8,1e-4
SEFCRI,2005,MIDR0 / PROT = 0,MIDR0,0,0,1294,14166,0.0913454750811803,3,5.566666666666666,92.96333333333332,9.64174949546675
SEFCRI,2005,MIDR1 / PROT = 0,MIDR1,1,0,866,14166,0.06113228857828604,2,2.8,15.679999999999998,3.959797974644666
SEFCRI,2005,NEAR0 / PROT = 0,NEAR0,0,0,6272,14166,0.44275024707045035,8,3.3,37.47714285714285,6.1218577945867745
SEFCRI,2005,NEAR1 / PROT = 0,NEAR1,1,0,899,14166,0.06346180996752789,3,6.266666666666667,82.74333333333334,9.09633625880955
SEFCRI,2005,OFFR1 / PROT = 0,OFFR1,1,0,2898,14166,0.204574332909784,8,0,1e-8,1e-4
FLK,2005,OFPR / PROT = 0,OFPR,NA,0,8413,67434,0.12475902363792746,9,0.13333333333333333,0.15999999999999998,0.39999999999999997
FLK,2006,FMLR / PROT = 0,FMLR,NA,0,26696,58695,0.4548257943606781,34,0.05294117647058823,0.095294117647058793,0.3086974532565159
FLK,2006,FMLR / PROT = 1,FMLR,NA,1,1089,58695,0.01855353948377204,5,0,1e-8,1e-4
FLK,2006,FSLR / PROT = 0,FSLR,NA,0,3384,58695,0.0576539739330437,13,0,1e-8,1e-4
FLK,2006,FSLR / PROT = 1,FSLR,NA,1,480,58695,0.008177868642984922,2,0,1e-8,1e-4
FLK,2006,HRRF / PROT = 0,HRRF,NA,0,1163,58695,0.019814294232898884,2,0,1e-8,1e-4
FLK,2006,HRRF / PROT = 1,HRRF,NA,1,594,58695,0.010120112445693842,8,0,1e-8,1e-4
SEFCRI,2006,INNR0 / PROT = 0,INNR0,0,0,845,15199,0.055595762879136784,4,0,1e-8,1e-4
SEFCRI,2006,INNR1 / PROT = 0,INNR1,1,0,1092,15199,0.07184683202842292,1,0,NA,NA
FLK,2006,INPR / PROT = 0,INPR,NA,0,1543,58695,0.026288440241928616,10,0.30999999999999994,0.9609999999999999,0.9803060746521975
FLK,2006,INPR / PROT = 1,INPR,NA,1,141,58695,0.002402248913876821,1,0,NA,NA
FLK,2006,MCPR / PROT = 0,MCPR,NA,0,14845,58695,0.25291762501064824,24,0.22083333333333333,0.35476449275362315,0.5956210983113536
FLK,2006,MCPR / PROT = 1,MCPR,NA,1,347,58695,0.005911917539824517,9,0.30000000000000004,0.8100000000000003,0.9000000000000001
SEFCRI,2006,MIDR0 / PROT = 0,MIDR0,0,0,1294,15199,0.08513718007763668,8,1.1,4.251428571428571,2.0618992631621387
SEFCRI,2006,MIDR1 / PROT = 0,MIDR1,1,0,866,15199,0.056977432725837225,2,1.1,2.4200000000000004,1.5556349186104046
SEFCRI,2006,NEAR0 / PROT = 0,NEAR0,0,0,6272,15199,0.412658727547865,14,1.7642857142857142,23.024010989010986,4.798334188967145
SEFCRI,2006,NEAR1 / PROT = 0,NEAR1,1,0,899,15199,0.05914862819922363,7,0.7999999999999999,4.4799999999999995,2.116601048851672
SEFCRI,2006,OFFR0 / PROT = 0,OFFR0,0,0,1033,15199,0.06796499769721692,3,0,1e-8,1e-4
SEFCRI,2006,OFFR1 / PROT = 0,OFFR1,1,0,2898,15199,0.19067043884466084,6,0.4833333333333333,1.4016666666666666,1.1839200423452028
