REGION,YEAR,SPECIES_CD,SPECIES_NAME,avMort,Var,SE,CV_perc,n_sites,n_strat,ngrtot,MORT_TYPE
SEFCRI,2014,ACR CERV,Acropora cervicornis,32.5,306.25,17.5,53.84615384615385,2,1,6272,Old
SEFCRI,2014,AGA AGAR,Agaricia agaricites,1.0023148148148149,1.0046349897917053,1.002314815709967,100.0000000893085,4,2,2160,Old
SEFCRI,2014,AGA FRAG,Agaricia fragilis,7.288348700754401,1.4706105537400693e-9,3.83485404381975e-5,5.26162262711554e-4,3,2,2386,Old
SEFCRI,2014,AGA HUMI,Agaricia humilis,0,0,0,NA,1,1,866,Old
SEFCRI,2014,AGA LAMA,Agaricia lamarcki,4.037344253114938,0.10295213999821923,0.32086155892879914,7.947342084620214,7,4,9524,Old
SEFCRI,2014,COL NATA,Colpophyllia natans,23.805326331582894,0.2704423551470539,0.5200407245082388,2.1845561672401557,6,4,9331,Old
SEFCRI,2014,DIC STOK,Dichocoenia stokesii,8.389737654320987,14.171222785446199,3.764468459881979,44.86991864332201,13,2,2160,Old
SEFCRI,2014,DIP LABY,Diploria labyrinthiformis,15.638400385449291,0.6073556882236643,0.7793302818597929,4.983439882923824,7,4,4151,Old
SEFCRI,2014,EUS FAST,Eusmilia fastigiata,13.322384665367121,0.8702190364788831,0.9328553137967769,7.002164681686667,10,5,5130,Old
SEFCRI,2014,FAV FRAG,Favia fragum,0,0,0,NA,1,1,1092,Old
SEFCRI,2014,ISO SINU,Isophyllia sinuosa,0,0,0,NA,1,1,1294,Old
SEFCRI,2014,MAD AURE,Madracis auretenra,5,0,0,0,1,1,866,Old
SEFCRI,2014,MAD DECA,Madracis decactis,43.19042104584357,4.250268587835458,2.061617953898214,4.773322195006973,21,5,7183,Old
SEFCRI,2014,MAN AREO,Manicina areolata,0,0,0,NA,2,2,2386,Old
SEFCRI,2014,MEA MEAN,Meandrina meandrites,4.672936602608749,6.304293398889334,2.510835199468363,53.7314201537989,56,8,15199,Old
SEFCRI,2014,MON CAVE,Montastraea cavernosa,16.722378073071376,10.253202064508194,3.2020621581268833,19.148366004732754,62,8,15199,Old
SEFCRI,2014,MUS ANGU,Mussa angulosa,0,0,0,NA,1,1,866,Old
SEFCRI,2014,MYC ALIC,Mycetophyllia aliciae,0.8237268518518519,0.5289885322002171,0.7273159782379438,88.29577142020281,5,2,2160,Old
SEFCRI,2014,OCU DIFF,Oculina diffusa,0,0,0,NA,1,1,6272,Old
SEFCRI,2014,OCU SPE.,Oculina spp,40.397192303037635,0,0,0,3,3,8263,Old
SEFCRI,2014,ORB ANNU,Orbicella annularis,8.924559932942163,0,0,0,2,2,2386,Old
SEFCRI,2014,ORB FAVE,Orbicella faveolata,40.80970189701897,21.41641006228589,4.6277867347454436,11.339918008770091,18,4,6150,Old
SEFCRI,2014,ORB FRAN,Orbicella franksi,68.64768683274022,0,0,0,3,3,5058,Old
SEFCRI,2014,POR ASTR,Porites astreoides,11.393784004343086,4.560435648507157,2.135517653522714,18.742830763762914,61,8,15199,Old
SEFCRI,2014,POR FURC,Porites furcata,35,225,15,42.857142857142854,2,1,1294,Old
SEFCRI,2014,POR PORI,Porites porites,22.713464910847218,34.84885801382655,5.903292133532488,25.9902756215467,19,5,10423,Old
SEFCRI,2014,PSE CLIV,Pseudodiploria clivosa,1.5296270302787247,0,0,0,5,5,9974,Old
SEFCRI,2014,PSE STRI,Pseudodiploria strigosa,12.512144268974001,47.66577845459611,6.9040407338453695,55.17871745584901,20,7,14166,Old
SEFCRI,2014,SCO SPE.,Scolymia spp,0,0,0,NA,1,1,866,Old
SEFCRI,2014,SID RADI,Siderastrea radians,9.499929996657904,36.75345101076036,6.062462454379438,63.815864501235545,17,7,12301,Old
SEFCRI,2014,SID SIDE,Siderastrea siderea,15.799124994647725,7.226158256307411,2.688151457099732,17.014559084825255,83,8,15199,Old
SEFCRI,2014,SID SPE.,Siderastrea spp,0,0,0,NA,1,1,2898,Old
SEFCRI,2014,SOL BOUR,Solenastrea bournoni,10.089786344398552,12.111293733575959,3.4801284076275056,34.49159663880826,29,6,13074,Old
SEFCRI,2014,SOL HYAD,Solenastrea hyades,3.3333333333333335,0,0,0,1,1,1294,Old
SEFCRI,2014,STE INTE,Stephanocoenia intersepta,12.477395943494042,13.026749762937914,3.609258893864212,28.92637943212943,73,8,15199,Old
SEFCRI,2015,ACR CERV,Acropora cervicornis,17.04451753495486,24.23154422930766,4.9225546446238315,28.880574850702974,9,3,8209,Old
SEFCRI,2015,AGA FRAG,Agaricia fragilis,2.5658256509784896,3.5473262603640876,1.8834346976638419,73.40462501595091,6,4,6183,Old
SEFCRI,2015,AGA LAMA,Agaricia lamarcki,2.6554704380278924,0.14535998741583206,0.38126104890984086,14.357570826244542,4,3,5091,Old
SEFCRI,2015,COL NATA,Colpophyllia natans,12.794437079932091,63.41719859223346,7.963491608097133,62.241828681839905,13,7,14333,Old
SEFCRI,2015,DIP LABY,Diploria labyrinthiformis,13.08724832214765,0,0,0,2,2,1937,Old
SEFCRI,2015,EUS FAST,Eusmilia fastigiata,4.270528535653091,0.7386209649266524,0.8594306050674786,20.12468943580179,5,3,5058,Old
SEFCRI,2015,MAD DECA,Madracis decactis,12.592743050319209,0.48817941570972095,0.6986983724825191,5.548420782434754,13,6,13262,Old
SEFCRI,2015,MEA MEAN,Meandrina meandrites,11.828183703126106,60.72437244481481,7.792584452209344,65.88149666757221,32,7,14107,Old
SEFCRI,2015,MON CAVE,Montastraea cavernosa,16.245266940547086,10.80753974714208,3.287482280886405,20.23655439407445,68,8,15199,Old
SEFCRI,2015,MYC ALIC,Mycetophyllia aliciae,0,0,0,NA,2,2,1744,Old
SEFCRI,2015,MYC SPE.,Mycetophyllia spp,0,0,0,NA,3,3,8599,Old
SEFCRI,2015,OCU DIFF,Oculina diffusa,0,0,0,NA,1,1,845,Old
SEFCRI,2015,OCU SPE.,Oculina spp,0.21865848556686654,0.04781153331039558,0.21865848556686654,100,3,2,7171,Old
SEFCRI,2015,ORB FAVE,Orbicella faveolata,18.5539438218187,7.621807139243291,2.760762057701332,14.879650839811134,13,5,7049,Old
SEFCRI,2015,ORB FRAN,Orbicella franksi,65,0,0,0,1,1,845,Old
SEFCRI,2015,POR ASTR,Porites astreoides,7.318437590891687,1.1884886435432933,1.0901782622779146,14.896325188790549,70,8,15199,Old
SEFCRI,2015,POR PORI,Porites porites,10.291663966714221,5.23465854998006,2.2879376193375682,22.230978651628373,32,6,12872,Old
