REGION,YEAR,ANALYSIS_STRATUM,STRAT,RUG_CD,PROT,n,avmort,Var,SE,CV_perc,MORT_TYPE
Tortugas,1999,CONT_HR / PROT = 1,CONT_HR,NA,1,2,28.2533195970696,56.29980497576868,7.5033195970695985,26.557302660632608,Old
Tortugas,1999,CONT_HR / PROT = 2,CONT_HR,NA,2,2,18.300689302527537,101.81742397484086,10.090462029800264,55.137059937991815,Old
Tortugas,1999,CONT_LR / PROT = 0,CONT_LR,NA,0,3,20.705934599026705,24.210875511363255,4.92045480736926,23.76350018801155,Old
Tortugas,1999,CONT_LR / PROT = 1,CONT_LR,NA,1,2,13.682699843260188,0.060122963134820906,0.2451998432601883,1.7920428429259787,Old
Tortugas,1999,CONT_LR / PROT = 2,CONT_LR,NA,2,6,14.259293241276852,3.9062904730916004,1.9764337765509878,13.860671374859862,Old
FLK,1999,FMLR / PROT = 0,FMLR,NA,0,38,18.147522034772656,1.5476049953150215,1.2440277309268557,6.855083181842464,Old
FLK,1999,FMLR / PROT = 1,FMLR,NA,1,15,20.635882156461424,2.2622910816236956,1.5040914472277593,7.288718920876394,Old
FLK,1999,FSLR / PROT = 0,FSLR,NA,0,6,22.920123739360562,19.973582078021536,4.469181365532343,19.498940827520272,Old
FLK,1999,FSLR / PROT = 1,FSLR,NA,1,6,29.736276389502198,4.7198465168206925,2.172520774773096,7.305961063571703,Old
FLK,1999,HRRF / PROT = 0,HRRF,NA,0,42,17.217906215018637,1.500644806509215,1.2250080842628,7.114733167696453,Old
FLK,1999,HRRF / PROT = 1,HRRF,NA,1,44,24.428487803985007,1.651825408575956,1.2852336007807903,5.261208188953598,Old
Tortugas,1999,ISOL_LR / PROT = 0,ISOL_LR,NA,0,1,4.910714285714286,NA,NA,NA,Old
Tortugas,1999,ISOL_LR / PROT = 1,ISOL_LR,NA,1,2,16.35683760683761,3.657247607568122,1.9123931623931627,11.691704768125408,Old
Tortugas,1999,ISOL_MR / PROT = 2,ISOL_MR,NA,2,1,13.256257631257633,NA,NA,NA,Old
