REGION,YEAR,ANALYSIS_STRATUM,STRAT,RUG_CD,PROT,n,avmort,Var,SE,CV_perc,MORT_TYPE
Tortugas,1999,CONT_HR / PROT = 1,CONT_HR,NA,1,2,3.833447802197802,1.460346090636698,1.208447802197802,31.523783929051323,Recent
Tortugas,1999,CONT_HR / PROT = 2,CONT_HR,NA,2,2,4.038350844417021,0.7111176899291071,0.843277943461767,20.881740491358993,Recent
Tortugas,1999,CONT_LR / PROT = 0,CONT_LR,NA,0,3,2.6447977582846,1.2103921970352223,1.1001782569362213,41.597821742324456,Recent
Tortugas,1999,CONT_LR / PROT = 1,CONT_LR,NA,1,2,6.022438050455291,4.260528283245119,2.064104717121958,34.27357325769277,Recent
Tortugas,1999,CONT_LR / PROT = 2,CONT_LR,NA,2,6,7.251348509311391,1.6405675488523628,1.2808464189169453,17.663561712310777,Recent
FLK,1999,FMLR / PROT = 0,FMLR,NA,0,38,2.404831517572941,0.2643213772285526,0.5141219478183678,21.378709654356232,Recent
FLK,1999,FMLR / PROT = 1,FMLR,NA,1,15,2.5854217598120037,0.26971010232712417,0.5193362131867219,20.08709840921602,Recent
FLK,1999,FSLR / PROT = 0,FSLR,NA,0,6,1.7187773188215754,0.5520788093998278,0.7430200598905979,43.22957091381831,Recent
FLK,1999,FSLR / PROT = 1,FSLR,NA,1,6,1.765640902737677,0.6709266573107914,0.8191011276459039,46.3911504528392,Recent
FLK,1999,HRRF / PROT = 0,HRRF,NA,0,42,1.894609266079748,0.10379870038625037,0.32217805695958,17.004986871315072,Recent
FLK,1999,HRRF / PROT = 1,HRRF,NA,1,44,1.9017612645844533,0.08668889138789772,0.29442977327012587,15.481952375050643,Recent
Tortugas,1999,ISOL_LR / PROT = 0,ISOL_LR,NA,0,1,8.363095238095237,NA,NA,NA,Recent
Tortugas,1999,ISOL_LR / PROT = 1,ISOL_LR,NA,1,2,4.041514041514041,0.97211413603355,0.985958485958486,24.395770392749245,Recent
Tortugas,1999,ISOL_MR / PROT = 2,ISOL_MR,NA,2,1,4.648199023199023,NA,NA,NA,Recent
